award_type,final_rank,player_id,position,season,team_id,vote_share,votes
MVP,1,DET_QB_01,QB,2026,DET,0.98,49
MVP,2,DET_EDGE_01,EDGE,2026,DET,0.02,1
OPOY,1,CAR_WR_03,WR,2026,CAR,0.4,20
OPOY,2,TEN_WR_01,WR,2026,TEN,0.36,18
OPOY,3,DET_QB_01,QB,2026,DET,0.12,6
OPOY,4,DEN_QB_01,QB,2026,DEN,0.1,5
OPOY,5,SF_WR_03,WR,2026,SF,0.02,1
DPOY,1,DET_DT_02,DT,2026,DET,0.62,31
DPOY,2,DET_EDGE_01,EDGE,2026,DET,0.28,14
DPOY,3,PHI_EDGE_01,EDGE,2026,PHI,0.04,2
DPOY,4,DAL_EDGE_02,EDGE,2026,DAL,0.02,1
DPOY,5,KC_CB_02,CB,2026,KC,0.02,1
DPOY,6,ATL_CB_02,CB,2026,ATL,0.02,1
OROY,1,DET_RB_02,RB,2026,DET,0.74,37
OROY,2,DET_WR_01,WR,2026,DET,0.18,9
OROY,3,IND_WR_02,WR,2026,IND,0.08,4
DROY,1,DEN_DT_02,DT,2026,DEN,0.72,36
DROY,2,GB_DT_04,DT,2026,GB,0.18,9
DROY,3,LV_EDGE_04,EDGE,2026,LV,0.1,5
MVP,1,IND_QB_01,QB,2027,IND,0.82,41
MVP,2,GB_QB_01,QB,2027,GB,0.1,5
MVP,3,CIN_RB_01,RB,2027,LAR,0.06,3
MVP,4,ATL_DT_01,DT,2027,ATL,0.02,1
OPOY,1,CIN_RB_01,RB,2027,LAR,0.78,39
OPOY,2,LAR_WR_02,WR,2027,LAR,0.12,6
OPOY,3,CAR_WR_01,WR,2027,JAX,0.04,2
OPOY,4,NYJ_TE_01,TE,2027,IND,0.02,1
OPOY,5,GB_QB_01,QB,2027,GB,0.02,1
OPOY,6,IND_QB_01,QB,2027,IND,0.02,1
DPOY,1,ATL_DT_01,DT,2027,ATL,0.64,32
DPOY,2,DET_EDGE_02,EDGE,2027,ATL,0.22,11
DPOY,3,MIN_EDGE_02,EDGE,2027,SEA,0.06,3
DPOY,4,CAR_DT_02,DT,2027,CAR,0.04,2
DPOY,5,BAL_LB_01,LB,2027,DET,0.02,1
DPOY,6,TEN_CB_03,CB,2027,TEN,0.02,1
OROY,1,P100022_WR,WR,2027,DET,0.88,44
OROY,2,P100035_RB,RB,2027,NYJ,0.12,6
DROY,1,P100191_EDGE,EDGE,2027,WAS,0.56,28
DROY,2,P100134_EDGE,EDGE,2027,LAR,0.2,10
DROY,3,P100011_EDGE,EDGE,2027,JAX,0.14,7
DROY,4,P100095_EDGE,EDGE,2027,TB,0.06,3
DROY,5,P100246_DT,DT,2027,SF,0.04,2
MOST_IMPROVED,1,LAR_DT_05,DT,2027,LV,0.58,29
MOST_IMPROVED,2,SEA_EDGE_02,EDGE,2027,BUF,0.28,14
MOST_IMPROVED,3,CLE_DT_04,DT,2027,IND,0.1,5
MOST_IMPROVED,4,LAR_CB_05,CB,2027,LAR,0.02,1
MOST_IMPROVED,5,PIT_WR_06,WR,2027,PIT,0.02,1
MVP,1,GB_QB_01,QB,2028,GB,0.96,48
MVP,2,TB_DT_02,DT,2028,DET,0.02,1
MVP,3,SF_EDGE_02,EDGE,2028,SF,0.02,1
OPOY,1,LV_WR_01,WR,2028,LV,0.38,19
OPOY,2,GB_QB_01,QB,2028,GB,0.28,14
OPOY,3,NYJ_TE_01,TE,2028,IND,0.24,12
OPOY,4,DEN_WR_01,WR,2028,DEN,0.04,2
OPOY,5,DET_TE_01,TE,2028,DET,0.02,1
OPOY,6,CAR_WR_01,WR,2028,JAX,0.02,1
OPOY,7,KC_RB_01,RB,2028,KC,0.02,1
DPOY,1,SF_EDGE_02,EDGE,2028,SF,0.3,15
DPOY,2,KC_DT_01,DT,2028,MIA,0.18,9
DPOY,3,DEN_DT_02,DT,2028,DEN,0.14,7
DPOY,4,BAL_EDGE_02,EDGE,2028,DEN,0.14,7
DPOY,5,TB_DT_02,DT,2028,DET,0.12,6
DPOY,6,NYJ_CB_03,CB,2028,ATL,0.1,5
DPOY,7,TB_LB_02,LB,2028,TB,0.02,1
OROY,1,P100544_RB,RB,2028,NO,0.56,28
OROY,2,P100322_WR,WR,2028,CHI,0.36,18
OROY,3,P100447_WR,WR,2028,ARI,0.08,4
DROY,1,P100329_LB,LB,2028,DEN,0.3,15
DROY,2,P100480_EDGE,EDGE,2028,BAL,0.26,13
DROY,3,P100428_S,S,2028,PIT,0.18,9
DROY,4,P100426_CB,CB,2028,WAS,0.1,5
DROY,5,P100422_CB,CB,2028,LAC,0.06,3
DROY,6,P100545_LB,LB,2028,LAR,0.06,3
DROY,7,P100366_CB,CB,2028,DEN,0.02,1
DROY,8,P100482_DT,DT,2028,CAR,0.02,1
MOST_IMPROVED,1,KC_DT_01,DT,2028,MIA,0.72,36
MOST_IMPROVED,2,JAX_EDGE_01,EDGE,2028,NYJ,0.28,14
MVP,1,DEN_QB_01,QB,2029,DEN,0.76,38
MVP,2,PHI_WR_03,WR,2029,CAR,0.14,7
MVP,3,DET_EDGE_02,EDGE,2029,ATL,0.04,2
MVP,4,PHI_DT_01,DT,2029,IND,0.02,1
MVP,5,CLE_EDGE_01,EDGE,2029,CLE,0.02,1
MVP,6,IND_QB_01,QB,2029,BAL,0.02,1
OPOY,1,PHI_WR_03,WR,2029,CAR,0.82,41
OPOY,2,ATL_TE_01,TE,2029,ATL,0.12,6
OPOY,3,DEN_QB_01,QB,2029,DEN,0.04,2
OPOY,4,CIN_RB_01,RB,2029,LAR,0.02,1
DPOY,1,PHI_DT_01,DT,2029,IND,0.56,28
DPOY,2,DET_EDGE_02,EDGE,2029,ATL,0.26,13
DPOY,3,DAL_CB_03,CB,2029,CAR,0.06,3
DPOY,4,NO_EDGE_02,EDGE,2029,TEN,0.06,3
DPOY,5,JAX_LB_02,LB,2029,IND,0.04,2
DPOY,6,CLE_EDGE_01,EDGE,2029,CLE,0.02,1
OROY,1,P100615_WR,WR,2029,PHI,0.96,48
OROY,2,P100720_TE,TE,2029,SEA,0.04,2
DROY,1,P100707_EDGE,EDGE,2029,ARI,0.6,30
DROY,2,P100698_EDGE,EDGE,2029,SEA,0.34,17
DROY,3,P100812_DT,DT,2029,BUF,0.06,3
MOST_IMPROVED,1,PHI_DT_01,DT,2029,IND,0.98,49
MOST_IMPROVED,2,NYJ_EDGE_05,EDGE,2029,NYJ,0.02,1
MVP,1,GB_QB_01,QB,2030,GB,0.84,42
MVP,2,PIT_QB_01,QB,2030,CAR,0.1,5
MVP,3,P100963_RB,RB,2030,IND,0.06,3
OPOY,1,P101125_WR,WR,2030,BAL,0.28,14
OPOY,2,GB_QB_01,QB,2030,GB,0.22,11
OPOY,3,P100963_RB,RB,2030,IND,0.2,10
OPOY,4,NE_WR_02,WR,2030,ATL,0.12,6
OPOY,5,CIN_RB_01,RB,2030,LAR,0.12,6
OPOY,6,DEN_TE_01,TE,2030,NYJ,0.06,3
DPOY,1,PHI_S_02,S,2030,DEN,0.6,30
DPOY,2,GB_DT_01,DT,2030,GB,0.24,12
DPOY,3,NE_DT_01,DT,2030,CHI,0.06,3
DPOY,4,BAL_DT_02,DT,2030,CLE,0.04,2
DPOY,5,SF_EDGE_02,EDGE,2030,MIA,0.04,2
DPOY,6,ATL_CB_02,CB,2030,PHI,0.02,1
OROY,1,P100963_RB,RB,2030,IND,0.6,30
OROY,2,P101125_WR,WR,2030,BAL,0.4,20
DROY,1,P101140_S,S,2030,GB,0.62,31
DROY,2,P101195_LB,LB,2030,ARI,0.28,14
DROY,3,P101024_S,S,2030,LV,0.08,4
DROY,4,P101200_DT,DT,2030,LAR,0.02,1
MOST_IMPROVED,1,NYG_EDGE_02,EDGE,2030,DEN,0.88,44
MOST_IMPROVED,2,PIT_EDGE_05,EDGE,2030,KC,0.06,3
MOST_IMPROVED,3,CIN_DT_01,DT,2030,PIT,0.04,2
MOST_IMPROVED,4,SEA_WR_06,WR,2030,TEN,0.02,1
MVP,1,DEN_QB_01,QB,2031,DEN,0.6,30
MVP,2,GB_QB_01,QB,2031,GB,0.28,14
MVP,3,P100707_EDGE,EDGE,2031,ARI,0.1,5
MVP,4,PHI_WR_03,WR,2031,CAR,0.02,1
OPOY,1,PHI_WR_03,WR,2031,CAR,0.46,23
OPOY,2,DEN_QB_01,QB,2031,DEN,0.18,9
OPOY,3,GB_QB_01,QB,2031,GB,0.12,6
OPOY,4,P100464_RB,RB,2031,ARI,0.08,4
OPOY,5,DEN_TE_01,TE,2031,NYJ,0.08,4
OPOY,6,KC_WR_01,WR,2031,DEN,0.06,3
OPOY,7,SEA_TE_02,TE,2031,IND,0.02,1
DPOY,1,P100707_EDGE,EDGE,2031,ARI,0.7,35
DPOY,2,IND_CB_01,CB,2031,IND,0.08,4
DPOY,3,TB_DT_02,DT,2031,IND,0.08,4
DPOY,4,MIN_DT_01,DT,2031,MIN,0.06,3
DPOY,5,TB_S_01,S,2031,MIN,0.04,2
DPOY,6,DET_EDGE_02,EDGE,2031,CLE,0.02,1
DPOY,7,CAR_CB_01,CB,2031,MIN,0.02,1
OROY,1,P101365_RB,RB,2031,BUF,0.58,29
OROY,2,P101233_RB,RB,2031,MIN,0.2,10
OROY,3,P101393_TE,TE,2031,DEN,0.12,6
OROY,4,P101209_RB,RB,2031,JAX,0.06,3
OROY,5,P101465_RB,RB,2031,KC,0.04,2
DROY,1,P101267_DT,DT,2031,CLE,0.94,47
DROY,2,P101291_LB,LB,2031,TB,0.04,2
DROY,3,P101488_EDGE,EDGE,2031,LAC,0.02,1
MOST_IMPROVED,1,KC_CB_02,CB,2031,PHI,0.6,30
MOST_IMPROVED,2,GB_DT_05,DT,2031,NYG,0.26,13
MOST_IMPROVED,3,DET_S_02,S,2031,WAS,0.14,7
