assists,batted_passes,big_time_throws,blitz_snaps,broken_tackles,clean_att,competition_type,completions,contested_catches,contested_targets,coverage_snaps,deep_att,deep_comp,deep_targets,display_name,drops,drops_by_receivers,explosive_runs,fg_att,fg_att_30_39,fg_att_40_49,fg_att_50p,fg_att_u30,fg_made,fg_made_30_39,fg_made_40_49,fg_made_50p,fg_made_u30,first_downs,forced_fumbles,forced_incompletions,fumbles,fumbles_lost,games,gross_yards,gw_att,hits_allowed,hurries,hurries_allowed,inside_10,inside_20,int,kickoffs,longest,longest_fg,missed_tackles,missed_tackles_forced,net_yards,pass_att,pass_block_efficiency,pass_block_snaps,pass_breakups,pass_rush_snaps,pass_rush_win_rate,pass_td,pass_yd,passer_rating_allowed,penalties,play_action_att,player_id,position,pressure_att,pressure_comp,pressure_yd,pressures,pressures_allowed,punts,qb_hits,rec,rec_allowed,rec_td,rec_yd,retired,return_yards_allowed,routes,run_block_losses,run_block_snaps,run_block_wins,run_stops,rush_att,rush_td,rush_yd,sack_yards,sacks,sacks_allowed,sacks_taken,scrambles,seasons_played,snaps,solo,starts,tackles,targets,td_allowed,tfl,throwaways,touchbacks,turnover_worthy_plays,week,xp_att,xp_made,yac,yards_after_contact,yards_allowed,yards_before_contact,yards_per_cov_snap
,,31.0,,,383.0,REGULAR_SEASON,331.0,,,,57.0,23.0,,Mikael Moorhead,,30.0,,,,,,,,,,,,156.0,,,4.0,2.0,16.0,,,,,,,,21.0,,,,,,,548.0,,,,,,7.0,3700.0,,,140.0,MIA_QB_01,QB,165.0,70.0,652.0,,,,,,,,,1,,,,,,,57.0,,265.0,251.0,,,39.0,32.0,0,999.0,,16.0,,,,,23.0,,28.0,131.0,,,,,,,
,,,,17.0,,REGULAR_SEASON,,39.0,92.0,,,,78.0,Asa Mortenson,38.0,,34.0,,,,,,,,,,,162.0,,,2.0,,34.0,,,,,,,,,,,,,8.0,,,,196.0,,,,,,,,,MIA_RB_02,RB,,,,,20.0,,,339.0,,,4022.0,1,,306.0,,81.0,,,449.0,5.0,1713.0,,,,,,0,916.0,,,,546.0,,,,,,296.0,,,1577.0,713.0,,1037.0,
,,,,11.0,,REGULAR_SEASON,,8.0,15.0,,,,21.0,Lincoln Karras,2.0,,11.0,,,,,,,,,,,28.0,,,0.0,,12.0,,,,,,,,,,,,,3.0,,,,51.0,,,,,,,,,MIA_RB_01,RB,,,,,2.0,,,63.0,,,745.0,1,,83.0,,18.0,,,87.0,,307.0,,,,,,0,254.0,,,,110.0,,,,,,88.0,,,274.0,92.0,,217.0,
,,,,7.0,,REGULAR_SEASON,,6.0,13.0,,,,19.0,Joaquin Rimington,8.0,,5.0,,,,,,,,,,,22.0,,,0.0,,17.0,,,,,,,,,,,,,0.0,,,,99.0,,,,,,,,,MIA_RB_03,RB,,,,,12.0,,,58.0,,,745.0,1,,97.0,,22.0,,,81.0,,294.0,,,,,,0,299.0,,,,103.0,,,,,,149.0,,,277.0,126.0,,174.0,
,,,,,,REGULAR_SEASON,,27.0,39.0,,,,20.0,Hutch Meacham,11.0,,,,,,,,,,,,,38.0,,,,,17.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,MIA_WR_01,WR,,,,,,,,93.0,,3.0,1137.0,1,,617.0,,210.0,,,,,,,,,,,0,730.0,,,,187.0,,,,,,149.0,,,455.0,,,,
,,,,,,REGULAR_SEASON,,24.0,48.0,,,,28.0,Vance Danforth,11.0,,,,,,,,,,,,,51.0,,,,,34.0,,,,,,,,,,,,,11.0,,,,,,,,,,,,,MIA_WR_06,WR,,,,,,,,127.0,,2.0,1650.0,1,,1241.0,,423.0,,,,,,,,,,,0,1466.0,,,,249.0,,,,,,296.0,,,642.0,,,,
,,,,,,REGULAR_SEASON,,13.0,42.0,,,,43.0,Ace Wrighster,13.0,,,,,,,,,,,,,40.0,,,,,66.0,,,,,,,,,,,,,30.0,,,,,,,,,,,,,MIA_WR_03,WR,,,,,,,,150.0,,4.0,1987.0,0,,2442.0,,832.0,,,,,,,,,,,0,2877.0,,,,288.0,,,,,,615.0,,,737.0,,,,
,,,,,,REGULAR_SEASON,,2.0,4.0,,,,2.0,Orion Berrios,0.0,,,,,,,,,,,,,0.0,,,,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,MIA_WR_04,WR,,,,,,,,5.0,,,78.0,1,,185.0,,63.0,,,,,,,,,,,0,218.0,,,,10.0,,,,,,18.0,,,31.0,,,,
,,,,,,REGULAR_SEASON,,40.0,103.0,,,,98.0,Demetrius Callender,36.0,,,,,,,,,,,,,125.0,,,,,95.0,,,,,,,,,,,,,51.0,,,,,,,,,,,,,MIA_TE_02,TE,,,,,,,,326.0,,,4196.0,0,,3200.0,,1089.0,,,,,,,,,,,0,3780.0,,,,613.0,,,,,,829.0,,,1724.0,,,,
,,,,,,REGULAR_SEASON,,32.0,69.0,,,,64.0,Amari Gresham,24.0,,,,,,,,,,,,,61.0,,,,,95.0,,,,,,,,,,,,,44.0,,,,,,,,,,,,,MIA_TE_03,TE,,,,,,,,207.0,,2.0,2760.0,0,,3155.0,,1073.0,,,,,,,,,,,0,3733.0,,,,383.0,,,,,,934.0,,,1072.0,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Weston Ferrante,,,,,,,,,,,,,,,,,,,45.0,,,17.0,,45.0,,,,,,,,,,,4179.7,1657.0,,,,,,,28.0,,MIA_OT_04,OT,,,,,77.0,,,,,,,0,,,117.0,1344.0,544.0,,,,,,,16.0,,,0,3001.0,,45.0,,,,,,,,398.0,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Dupree Dillard,,,,,,,,,,,,,,,,,,,20.0,,,1.0,,17.0,,,,,,,,,,,1913.4,722.0,,,,,,,12.0,,MIA_OT_02,OT,,,,,22.0,,,,,,,1,,,38.0,584.0,261.0,,,,,,,4.0,,,0,1306.0,,20.0,,,,,,,,184.0,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Terrance Oakman,,,,,,,,,,,,,,,,,,,16.0,,,4.0,,13.0,,,,,,,,,,,1523.1,569.0,,,,,,,11.0,,MIA_OG_01,OG,,,,,20.0,,,,,,,1,,,36.0,461.0,187.0,,,,,,,3.0,,,0,1030.0,,16.0,,,,,,,,142.0,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Sergio Mundy,,,,,,,,,,,,,,,,,,,14.0,,,8.0,,30.0,,,,,,,,,,,1234.1,504.0,,,,,,,7.0,,MIA_OG_02,OG,,,,,44.0,,,,,,,1,,,50.0,410.0,163.0,,,,,,,6.0,,,0,914.0,,14.0,,,,,,,,126.0,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Eero Burrage,,,,,,,,,,,,,,,,,,,13.0,,,2.0,,10.0,,,,,,,,,,,1222.6,476.0,,,,,,,10.0,,MIA_C_01,C,,,,,16.0,,,,,,,1,,,35.0,388.0,147.0,,,,,,,5.0,,,0,864.0,,13.0,,,,,,,,102.0,,,,,,,
148.0,12.0,,,,,REGULAR_SEASON,,,,,,,,Jace Rochell,,,,,,,,,,,,,,,12.0,,,,97.0,,,,104.0,,,,,,,,30.0,,,,,,,2373.0,14.0,,,,15.0,,MIA_EDGE_01,EDGE,,,,200.0,,,51.0,,,,,0,,,,,,170.0,,,,,64.0,,,,0,4169.0,121.0,,269.0,,,59.0,,,,872.0,,,,,,,
23.0,2.0,,,,,REGULAR_SEASON,,,,,,,,Montell Tindall,,,,,,,,,,,,,,,2.0,,,,15.0,,,,13.0,,,,,,,,10.0,,,,,,,353.0,1.95,,,,1.0,,MIA_EDGE_02,EDGE,,,,25.0,,,7.0,,,,,1,,,,,,28.0,,,,,9.0,,,,0,625.0,21.0,,44.0,,,10.0,,,,133.0,,,,,,,
61.0,9.0,,,,,REGULAR_SEASON,,,,,,,,Jeremiah Schofield,,,,,,,,,,,,,,,3.0,,,,40.0,,,,43.0,,,,,,,,8.0,,,,,,,989.0,5.08,,,,7.0,,MIA_EDGE_04,EDGE,,,,76.0,,,24.0,,,,,0,,,,,,61.0,,,,,11.0,,,,0,1745.0,50.0,,111.0,,,18.0,,,,381.0,,,,,,,
21.0,1.0,,,,,REGULAR_SEASON,,,,,,,,Sherman Umenyiora,,,,,,,,,,,,,,,0.0,,,,16.0,,,,15.0,,,,,,,,4.0,,,,,,,380.0,1.9,,,,5.0,,MIA_EDGE_03,EDGE,,,,28.0,,,9.0,,,,,1,,,,,,19.0,,,,,4.0,,,,0,665.0,18.0,,39.0,,,6.0,,,,137.0,,,,,,,
149.0,13.0,,,,,REGULAR_SEASON,,,,,,,,Tiberius Burnell,,,,,,,,,,,,,,,7.0,,,,95.0,,,,116.0,,,,,,,,17.0,,,,,,,2018.0,13.67,,,,14.0,,MIA_DT_01,DT,,,,182.0,,,50.0,,,,,0,,,,,,170.0,,,,,27.0,,,,0,3562.0,114.0,,263.0,,,40.0,,,,871.0,,,,,,,
89.0,8.0,,,,,REGULAR_SEASON,,,,,,,,Phelan Braithwaite,,,,,,,,,,,,,,,6.0,,,,62.0,,,,63.0,,,,,,,,10.0,,,,,,,1317.0,7.9,,,,20.0,,MIA_DT_04,DT,,,,110.0,,,31.0,,,,,0,,,,,,94.0,,,,,17.0,,,,0,2323.0,71.0,,160.0,,,29.0,,,,564.0,,,,,,,
124.0,17.0,,,,,REGULAR_SEASON,,,,,,,,Maddox Marlowe,,,,,,,,,,,,,,,9.0,,,,87.0,,,,108.0,,,,,,,,24.0,,,,,,,1864.0,12.44,,,,23.0,,MIA_DT_02,DT,,,,170.0,,,49.0,,,,,0,,,,,,137.0,,,,,20.0,,,,0,3285.0,104.0,,228.0,,,45.0,,,,748.0,,,,,,,
,,,130.0,,,REGULAR_SEASON,,,,821.0,,,,Vaughn Gerhardt,,,,,,,,,,,,,,,,18.0,,,24.0,,,,,,,,3.0,,,,12.0,,,,,,9.0,,,,,2206.2,6.0,,MIA_LB_03,LB,,,,19.0,,,,,75.0,,,0,,,,,,18.0,,,,,1.0,,,,0,1067.0,80.0,,125.0,105.0,4.0,12.0,,,,199.0,,,,,935.0,,28.04
,,,289.0,,,REGULAR_SEASON,,,,1725.0,,,,Obadiah Minshew,,,,,,,,,,,,,,,,30.0,,,50.0,,,,,,,,4.0,,,,20.0,,,,,,15.0,,,,,4060.2,15.0,,MIA_LB_05,LB,,,,37.0,,,,,116.0,,,0,,,,,,37.0,,,,,5.0,,,,0,2243.0,184.0,,288.0,196.0,8.0,48.0,,,,452.0,,,,,1434.0,,41.69
,,,105.0,,,REGULAR_SEASON,,,,568.0,,,,Shea Sandidge,,,,,,,,,,,,,,,,4.0,,,17.0,,,,,,,,1.0,,,,10.0,,,,,,1.0,,,,,1616.1,2.0,,MIA_LB_04,LB,,,,12.0,,,,,65.0,,,1,,,,,,12.0,,,,,0.0,,,,0,739.0,56.0,,90.0,90.0,3.0,18.0,,,,149.0,,,,,742.0,,22.33
,,,,,,REGULAR_SEASON,,,,530.0,,,,Elian Houghton,,,,,,,,,,,,,,,,9.0,,,14.0,,,,,,,,0.0,,,,2.0,,,,,,5.0,,,,,1180.1,1.0,,MIA_CB_03,CB,,,,,,,,,28.0,,,1,,,,,,9.0,,,,,,,,,0,689.0,44.0,,69.0,53.0,3.0,,,,,115.0,,,,,335.0,,8.67
,,,,,,REGULAR_SEASON,,,,2175.0,,,,Angus Stepnoski,,,,,,,,,,,,,,,,39.0,,,57.0,,,,,,,,5.0,,,,25.0,,,,,,19.0,,,,,4673.0,18.0,,MIA_CB_01,CB,,,,,,,,,144.0,,,1,,,,,,33.0,,,,,,,,,0,2821.0,123.0,,205.0,241.0,7.0,,,,,545.0,,,,,1702.0,,44.76
,,,,,,REGULAR_SEASON,,,,675.0,,,,Redmond Woodhead,,,,,,,,,,,,,,,,12.0,,,17.0,,,,,,,,0.0,,,,6.0,,,,,,6.0,,,,,1375.0,5.0,,MIA_CB_02,CB,,,,,,,,,32.0,,,1,,,,,,15.0,,,,,,,,,0,874.0,34.0,,54.0,57.0,0.0,,,,,149.0,,,,,442.0,,11.19
,,,,,,REGULAR_SEASON,,,,1763.0,,,,Pierce Tindall,,,,,,,,,,,,,,,,25.0,,,47.0,,,,,,,,1.0,,,,18.0,,,,,,12.0,,,,,4231.7,12.0,,MIA_CB_05,CB,,,,,,,,,115.0,,,0,,,,,,37.0,,,,,,,,,0,2291.0,100.0,,171.0,179.0,10.0,,,,,407.0,,,,,1281.0,,34.68
,,,,,,REGULAR_SEASON,,,,3849.0,,,,Alden Hickenbotham,,,,,,,,,,,,,,,,53.0,,,98.0,,,,,,,,2.0,,,,33.0,,,,,,29.0,,,,,8064.6,31.0,,MIA_S_02,S,,,,,,,,,218.0,,,1,,,,,,65.0,,,,,,,,,0,4990.0,218.0,,372.0,374.0,15.0,,,,,936.0,,,,,2612.0,,67.02
,,,,,,REGULAR_SEASON,,,,1359.0,,,,Sebastien Berrios,,,,,,,,,,,,,,,,17.0,,,34.0,,,,,,,,0.0,,,,14.0,,,,,,4.0,,,,,2949.9,8.0,,MIA_S_03,S,,,,,,,,,97.0,,,1,,,,,,25.0,,,,,,,,,0,1764.0,93.0,,150.0,163.0,8.0,,,,,296.0,,,,,1097.0,,27.73
,,,,,,REGULAR_SEASON,,,,676.0,,,,Lucian Ugwoegbu,,,,,,,,,,,,,,,,7.0,,,17.0,,,,,,,,0.0,,,,3.0,,,,,,5.0,,,,,1462.2,6.0,,MIA_S_04,S,,,,,,,,,38.0,,,1,,,,,,11.0,,,,,,,,,0,876.0,38.0,,66.0,65.0,2.0,,,,,149.0,,,,,440.0,,11.17
,,,,,,REGULAR_SEASON,,,,,,,,Bishop Kuechly,,,,48.0,12.0,10.0,15.0,16.0,39.0,12.0,8.0,10.0,14.0,,,,,,36.0,,3.0,,,,,,,133.0,,1051.0,,,,,,,,,,,,,,,MIA_K_01,K,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,216.0,,,,,,,,95.0,,293.0,76.0,75.0,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Ashton Jelks,,,,,,,,,,,,,,,,,,,93.0,15776.0,,,,,50.0,144.0,,,5082.0,,,,14352.0,,,,,,,,,,,,MIA_P_01,P,,,,,,342.0,,,,,,0,1424.0,,,,,,,,,,,,,,0,465.0,,,,,,,,24.0,,886.0,,,,,,,
,,24.0,,,380.0,REGULAR_SEASON,343.0,,,,60.0,22.0,,Gavin Birchfield,,23.0,,,,,,,,,,,,169.0,,,3.0,2.0,17.0,,,,,,,,12.0,,,,,,,549.0,,,,,,10.0,3267.0,,,140.0,NE_QB_01,QB,169.0,63.0,645.0,,,,,,,,,1,,,,,,,58.0,,272.0,295.0,,,46.0,36.0,0,1087.0,,17.0,,,,,32.0,,39.0,154.0,,,,,,,
,,,,40.0,,REGULAR_SEASON,,52.0,116.0,,,,100.0,Jabril Howze,27.0,,42.0,,,,,,,,,,,206.0,,,3.0,,30.0,,,,,,,,,,,,,15.0,,,,169.0,,,,,,,,,NE_RB_01,RB,,,,,8.0,,,404.0,,,4315.0,1,,318.0,,81.0,,,535.0,18.0,2287.0,,,,,,0,954.0,,,,629.0,,,,,,249.0,,,1829.0,940.0,,1356.0,
,,,,15.0,,REGULAR_SEASON,,28.0,72.0,,,,61.0,Zachariah Smallwood,29.0,,19.0,,,,,,,,,,,121.0,,,2.0,,17.0,,,,,,,,,,,,,6.0,,,,90.0,,,,,,,,,NE_RB_03,RB,,,,,8.0,,,242.0,,,2326.0,1,,179.0,,44.0,,,332.0,4.0,1333.0,,,,,,0,537.0,,,,393.0,,,,,,154.0,,,941.0,522.0,,829.0,
,,,,5.0,,REGULAR_SEASON,,4.0,7.0,,,,9.0,Quill Winchester,4.0,,5.0,,,,,,,,,,,15.0,,,0.0,,9.0,,,,,,,,,,,,,4.0,,,,49.0,,,,,,,,,NE_RB_02,RB,,,,,5.0,,,35.0,,,385.0,1,,58.0,,13.0,,,51.0,,230.0,,,,,,0,178.0,,,,57.0,,,,,,67.0,,,163.0,85.0,,145.0,
,,,,,,REGULAR_SEASON,,7.0,22.0,,,,28.0,Darian Milfort,5.0,,,,,,,,,,,,,30.0,,,,,17.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,NE_WR_01,WR,,,,,,,,71.0,,,773.0,1,,657.0,,223.0,,,,,,,,,,,0,773.0,,,,143.0,,,,,,154.0,,,314.0,,,,
,,,,,,REGULAR_SEASON,,7.0,14.0,,,,21.0,Quentin Blanchard,3.0,,,,,,,,,,,,,18.0,,,,,17.0,,,,,,,,,,,,,13.0,,,,,,,,,,,,,NE_WR_03,WR,,,,,,,,51.0,,2.0,528.0,1,,616.0,,210.0,,,,,,,,,,,0,728.0,,,,94.0,,,,,,154.0,,,235.0,,,,
,,,,,,REGULAR_SEASON,,7.0,20.0,,,,16.0,Redmond Drayton,6.0,,,,,,,,,,,,,19.0,,,,,34.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,NE_WR_06,WR,,,,,,,,70.0,,4.0,897.0,1,,1295.0,,441.0,,,,,,,,,,,0,1525.0,,,,130.0,,,,,,325.0,,,404.0,,,,
,,,,,,REGULAR_SEASON,,0.0,0.0,,,,1.0,Edison Restrepo,0.0,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,NE_WR_04,WR,,,,,,,,1.0,,,16.0,1,,39.0,,13.0,,,,,,,,,,,0,46.0,,,,2.0,,,,,,1.0,,,1.0,,,,
,,,,,,REGULAR_SEASON,,20.0,46.0,,,,34.0,Malachi Lindstrom,9.0,,,,,,,,,,,,,37.0,,,,,66.0,,,,,,,,,,,,,39.0,,,,,,,,,,,,,NE_TE_01,TE,,,,,,,,133.0,,,1644.0,1,,2219.0,,758.0,,,,,,,,,,,0,2621.0,,,,264.0,,,,,,605.0,,,657.0,,,,
,,,,,,REGULAR_SEASON,,15.0,24.0,,,,21.0,Silas Lavender,7.0,,,,,,,,,,,,,27.0,,,,,50.0,,,,,,,,,,,,,21.0,,,,,,,,,,,,,NE_TE_03,TE,,,,,,,,91.0,,,1128.0,0,,1641.0,,560.0,,,,,,,,,,,0,1941.0,,,,173.0,,,,,,448.0,,,423.0,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Kane Ridgeway,,,,,,,,,,,,,,,,,,,68.0,,,27.0,,80.0,,,,,,,,,,,6309.5,2430.0,,,,,,,44.0,,NE_OT_02,OT,,,,,125.0,,,,,,,1,,,174.0,1973.0,815.0,,,,,,,20.0,,,0,4403.0,,68.0,,,,,,,,646.0,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Rudy Wilberforce,,,,,,,,,,,,,,,,,,,93.0,,,25.0,,90.0,,,,,,,,,,,8685.8,3378.0,,,,,,,56.0,,NE_OT_03,OT,,,,,144.0,,,,,,,0,,,193.0,2741.0,1162.0,,,,,,,32.0,,,0,6119.0,,93.0,,,,,,,,884.0,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Izaiah Puglisi,,,,,,,,,,,,,,,,,,,92.0,,,33.0,,79.0,,,,,,,,,,,8573.8,3278.0,,,,,,,33.0,,NE_OG_01,OG,,,,,141.0,,,,,,,0,,,210.0,2672.0,1119.0,,,,,,,32.0,,,0,5950.0,,92.0,,,,,,,,851.0,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,Cullen Tindall,,,,,,,,,,,,,,,,,,,46.0,,,17.0,,63.0,,,,,,,,,,,4203.9,1680.0,,,,,,,27.0,,NE_OG_02,OG,,,,,98.0,,,,,,,1,,,146.0,1358.0,500.0,,,,,,,19.0,,,0,3038.0,,46.0,,,,,,,,441.0,,,,,,,
