honor,player_id,season
MVP,DET_QB_01,2026
FIRST_TEAM_ALL_PRO,DET_QB_01,2026
ALL_STAR,DET_QB_01,2026
ALL_STAR,DET_QB_01,2031
OPOY,CAR_WR_03,2026
FIRST_TEAM_ALL_PRO,CAR_WR_03,2026
ALL_STAR,CAR_WR_03,2026
SECOND_TEAM_ALL_PRO,CAR_WR_03,2027
ALL_STAR,CAR_WR_03,2027
ALL_STAR,CAR_WR_03,2028
ALL_STAR,CAR_WR_03,2029
DPOY,DET_DT_02,2026
FIRST_TEAM_ALL_PRO,DET_DT_02,2026
ALL_STAR,DET_DT_02,2026
OROY,DET_RB_02,2026
ALL_STAR,DET_RB_02,2030
ALL_STAR,DET_RB_02,2031
DROY,DEN_DT_02,2026
ALL_STAR,DEN_DT_02,2026
SECOND_TEAM_ALL_PRO,DEN_DT_02,2027
ALL_STAR,DEN_DT_02,2027
SECOND_TEAM_ALL_PRO,DEN_DT_02,2028
ALL_STAR,DEN_DT_02,2028
ALL_STAR,DEN_DT_02,2030
ALL_STAR,DEN_DT_02,2031
SECOND_TEAM_ALL_PRO,DEN_QB_01,2026
ALL_STAR,DEN_QB_01,2026
ALL_STAR,DEN_QB_01,2027
MVP,DEN_QB_01,2029
ALL_STAR,DEN_QB_01,2029
ALL_STAR,DEN_QB_01,2030
MVP,DEN_QB_01,2031
ALL_STAR,DEN_QB_01,2031
FIRST_TEAM_ALL_PRO,GB_RB_01,2026
ALL_STAR,GB_RB_01,2026
SECOND_TEAM_ALL_PRO,SF_RB_01,2026
ALL_STAR,SF_RB_01,2026
SECOND_TEAM_ALL_PRO,SF_RB_01,2027
ALL_STAR,SF_RB_01,2027
ALL_STAR,SF_RB_01,2028
FIRST_TEAM_ALL_PRO,TEN_WR_01,2026
ALL_STAR,TEN_WR_01,2026
FIRST_TEAM_ALL_PRO,CHI_WR_01,2026
ALL_STAR,CHI_WR_01,2026
ALL_STAR,CHI_WR_01,2030
SECOND_TEAM_ALL_PRO,SF_WR_03,2026
ALL_STAR,SF_WR_03,2026
SECOND_TEAM_ALL_PRO,GB_WR_01,2026
SECOND_TEAM_ALL_PRO,CLE_WR_03,2026
ALL_STAR,CLE_WR_03,2026
FIRST_TEAM_ALL_PRO,TEN_TE_03,2026
SECOND_TEAM_ALL_PRO,TEN_TE_03,2029
ALL_STAR,TEN_TE_03,2029
SECOND_TEAM_ALL_PRO,NYJ_TE_01,2026
ALL_STAR,NYJ_TE_01,2026
FIRST_TEAM_ALL_PRO,NYJ_TE_01,2027
ALL_STAR,NYJ_TE_01,2027
SECOND_TEAM_ALL_PRO,NYJ_TE_01,2028
ALL_STAR,NYJ_TE_01,2028
FIRST_TEAM_ALL_PRO,PHI_OT_02,2026
FIRST_TEAM_ALL_PRO,LV_OT_02,2026
ALL_STAR,LV_OT_02,2026
FIRST_TEAM_ALL_PRO,LV_OT_02,2027
ALL_STAR,LV_OT_02,2027
FIRST_TEAM_ALL_PRO,LV_OT_02,2029
ALL_STAR,LV_OT_02,2029
SECOND_TEAM_ALL_PRO,DAL_OT_01,2026
ALL_STAR,DAL_OT_01,2026
FIRST_TEAM_ALL_PRO,DAL_OT_01,2028
ALL_STAR,DAL_OT_01,2028
SECOND_TEAM_ALL_PRO,NYJ_OT_01,2026
ALL_STAR,NYJ_OT_01,2026
FIRST_TEAM_ALL_PRO,DET_OG_02,2026
ALL_STAR,DET_OG_02,2026
FIRST_TEAM_ALL_PRO,DET_OG_02,2027
ALL_STAR,DET_OG_02,2027
FIRST_TEAM_ALL_PRO,DET_OG_02,2028
ALL_STAR,DET_OG_02,2028
ALL_STAR,DET_OG_02,2029
ALL_STAR,DET_OG_02,2031
FIRST_TEAM_ALL_PRO,IND_OG_01,2026
ALL_STAR,IND_OG_01,2026
FIRST_TEAM_ALL_PRO,IND_OG_01,2027
ALL_STAR,IND_OG_01,2027
ALL_STAR,IND_OG_01,2029
ALL_STAR,IND_OG_01,2030
SECOND_TEAM_ALL_PRO,WAS_OG_02,2026
ALL_STAR,WAS_OG_02,2026
ALL_STAR,WAS_OG_02,2030
ALL_STAR,WAS_OG_02,2031
SECOND_TEAM_ALL_PRO,PIT_OG_02,2026
