competition_type,coverage_grade,games,overall_grade,pass_block_grade,pass_rush_grade,passing_grade,player_id,position,qualified,receiving_grade,run_block_grade,run_defense_grade,rushing_grade,season,snaps,special_teams_grade,tackling_grade,team_id
REGULAR_SEASON,,16,66.1,,,64.2,MIA_QB_01,QB,1,,,,66.9,2026,999,,,MIA
REGULAR_SEASON,,17,50.2,52.6,,,MIA_RB_02,RB,1,57.2,,,51.4,2026,533,,,MIA
REGULAR_SEASON,,12,51.6,53.2,,,MIA_RB_01,RB,1,49.2,,,51.6,2026,254,,,MIA
REGULAR_SEASON,,17,30.2,35.5,,,MIA_RB_03,RB,1,35.1,,,40.9,2026,299,,,MIA
REGULAR_SEASON,,17,70.1,,,,MIA_WR_01,WR,1,65.9,66.4,,,2026,730,,,MIA
REGULAR_SEASON,,17,58.2,,,,MIA_WR_06,WR,1,54.1,59.5,,,2026,717,,,MIA
REGULAR_SEASON,,17,61.0,,,,MIA_WR_03,WR,1,61.9,60.4,,,2026,754,,,MIA
REGULAR_SEASON,,5,54.2,,,,MIA_WR_04,WR,0,48.8,60.9,,,2026,218,,,MIA
REGULAR_SEASON,,17,52.5,50.8,,,MIA_TE_02,TE,1,50.4,47.0,,,2026,685,,,MIA
REGULAR_SEASON,,15,61.0,60.5,,,MIA_TE_03,TE,1,62.1,57.9,,,2026,571,,,MIA
REGULAR_SEASON,,14,59.6,56.9,,,MIA_OT_04,OT,1,,58.0,,,2026,925,,,MIA
REGULAR_SEASON,,17,77.0,72.2,,,MIA_OT_02,OT,1,,74.2,,,2026,1118,,,MIA
REGULAR_SEASON,,16,66.5,64.1,,,MIA_OG_01,OG,1,,61.7,,,2026,1030,,,MIA
REGULAR_SEASON,,14,46.0,48.6,,,MIA_OG_02,OG,1,,49.1,,,2026,914,,,MIA
REGULAR_SEASON,,13,61.1,62.7,,,MIA_C_01,C,1,,62.0,,,2026,864,,,MIA
REGULAR_SEASON,,16,64.1,,65.7,,MIA_EDGE_01,EDGE,1,,,62.7,,2026,676,,60.3,MIA
REGULAR_SEASON,,15,59.7,,55.5,,MIA_EDGE_02,EDGE,1,,,63.5,,2026,625,,57.5,MIA
REGULAR_SEASON,,12,60.0,,61.7,,MIA_EDGE_04,EDGE,1,,,57.5,,2026,531,,60.5,MIA
REGULAR_SEASON,,16,56.2,,61.3,,MIA_EDGE_03,EDGE,1,,,58.2,,2026,665,,56.3,MIA
REGULAR_SEASON,,17,60.3,,56.1,,MIA_DT_01,DT,1,,,60.5,,2026,620,,57.4,MIA
REGULAR_SEASON,,13,62.9,,59.9,,MIA_DT_04,DT,1,,,71.5,,2026,491,,66.2,MIA
REGULAR_SEASON,,17,54.4,,58.2,,MIA_DT_02,DT,1,,,49.9,,2026,635,,57.6,MIA
REGULAR_SEASON,53.0,15,49.4,,57.3,,MIA_LB_03,LB,1,,,55.1,,2026,676,,55.7,MIA
REGULAR_SEASON,72.9,16,71.9,,68.7,,MIA_LB_05,LB,1,,,69.1,,2026,721,,66.9,MIA
REGULAR_SEASON,50.9,17,48.5,,43.6,,MIA_LB_04,LB,1,,,51.6,,2026,739,,57.5,MIA
REGULAR_SEASON,58.6,14,59.7,,,,MIA_CB_03,CB,1,,,66.2,,2026,689,,66.2,MIA
REGULAR_SEASON,63.0,13,60.5,,,,MIA_CB_01,CB,1,,,60.5,,2026,662,,53.5,MIA
REGULAR_SEASON,58.6,17,64.0,,,,MIA_CB_02,CB,1,,,61.0,,2026,874,,60.8,MIA
REGULAR_SEASON,61.0,16,68.3,,,,MIA_CB_05,CB,1,,,66.1,,2026,756,,64.5,MIA
REGULAR_SEASON,69.4,14,74.5,,,,MIA_S_02,S,1,,,71.2,,2026,706,,69.3,MIA
REGULAR_SEASON,55.3,17,44.6,,,,MIA_S_03,S,1,,,39.5,,2026,890,,49.6,MIA
REGULAR_SEASON,62.6,17,64.6,,,,MIA_S_04,S,1,,,64.7,,2026,876,,57.3,MIA
REGULAR_SEASON,,17,59.0,,,,MIA_K_01,K,1,,,,,2026,102,57.7,,MIA
REGULAR_SEASON,,16,71.9,,,,MIA_P_01,P,1,,,,,2026,80,69.2,,MIA
REGULAR_SEASON,,17,48.2,,,52.3,NE_QB_01,QB,1,,,,50.0,2026,1087,,,NE
REGULAR_SEASON,,5,62.0,61.9,,,NE_RB_01,RB,0,67.4,,,51.1,2026,155,,,NE
REGULAR_SEASON,,17,59.3,61.2,,,NE_RB_03,RB,1,55.1,,,60.9,2026,537,,,NE
REGULAR_SEASON,,9,49.5,49.6,,,NE_RB_02,RB,0,53.7,,,54.0,2026,178,,,NE
REGULAR_SEASON,,17,68.9,,,,NE_WR_01,WR,1,65.7,68.8,,,2026,773,,,NE
REGULAR_SEASON,,17,75.9,,,,NE_WR_03,WR,1,70.8,71.3,,,2026,728,,,NE
REGULAR_SEASON,,17,60.6,,,,NE_WR_06,WR,1,60.8,65.5,,,2026,770,,,NE
REGULAR_SEASON,,1,61.0,,,,NE_WR_04,WR,0,77.7,44.2,,,2026,46,,,NE
REGULAR_SEASON,,17,71.0,68.5,,,NE_TE_01,TE,1,70.2,78.5,,,2026,687,,,NE
REGULAR_SEASON,,16,57.1,58.9,,,NE_TE_03,TE,1,60.0,53.3,,,2026,632,,,NE
REGULAR_SEASON,,17,56.0,53.4,,,NE_OT_02,OT,1,,59.3,,,2026,1098,,,NE
REGULAR_SEASON,,13,63.7,66.8,,,NE_OT_03,OT,1,,66.3,,,2026,839,,,NE
REGULAR_SEASON,,17,63.6,60.2,,,NE_OG_01,OG,1,,60.1,,,2026,1103,,,NE
REGULAR_SEASON,,17,58.5,51.8,,,NE_OG_02,OG,1,,62.5,,,2026,1131,,,NE
REGULAR_SEASON,,17,64.1,61.6,,,NE_C_01,C,1,,62.7,,,2026,1112,,,NE
REGULAR_SEASON,,17,64.4,,61.3,,NE_EDGE_01,EDGE,1,,,60.5,,2026,749,,66.7,NE
REGULAR_SEASON,,7,66.7,,68.1,,NE_EDGE_02,EDGE,0,,,57.7,,2026,308,,65.4,NE
REGULAR_SEASON,,16,47.3,,52.5,,NE_EDGE_04,EDGE,1,,,51.4,,2026,692,,54.4,NE
REGULAR_SEASON,,17,60.5,,56.3,,NE_EDGE_03,EDGE,1,,,61.8,,2026,780,,57.3,NE
REGULAR_SEASON,,11,72.1,,74.3,,NE_DT_01,DT,1,,,73.7,,2026,434,,69.3,NE
REGULAR_SEASON,,15,61.1,,63.0,,NE_DT_03,DT,1,,,60.7,,2026,580,,64.0,NE
REGULAR_SEASON,,14,57.9,,55.8,,NE_DT_04,DT,1,,,59.5,,2026,551,,59.1,NE
REGULAR_SEASON,69.5,17,74.9,,72.3,,NE_LB_01,LB,1,,,67.7,,2026,767,,67.9,NE
REGULAR_SEASON,70.9,17,76.7,,79.9,,NE_LB_04,LB,1,,,76.6,,2026,821,,67.4,NE
REGULAR_SEASON,61.7,17,66.3,,69.0,,NE_LB_02,LB,1,,,66.6,,2026,768,,67.2,NE
REGULAR_SEASON,59.0,17,58.5,,,,NE_CB_03,CB,1,,,56.2,,2026,829,,62.1,NE
REGULAR_SEASON,59.9,17,48.9,,,,NE_CB_04,CB,1,,,51.0,,2026,851,,57.4,NE
REGULAR_SEASON,56.3,16,54.1,,,,NE_CB_01,CB,1,,,59.0,,2026,783,,56.2,NE
REGULAR_SEASON,50.9,17,49.2,,,,NE_CB_02,CB,1,,,54.4,,2026,819,,53.4,NE
REGULAR_SEASON,65.6,17,59.8,,,,NE_S_03,S,1,,,64.8,,2026,872,,65.6,NE
REGULAR_SEASON,68.4,17,66.4,,,,NE_S_02,S,1,,,65.3,,2026,887,,63.6,NE
REGULAR_SEASON,54.6,17,55.1,,,,NE_S_01,S,1,,,59.0,,2026,856,,57.4,NE
REGULAR_SEASON,,17,68.9,,,,NE_K_01,K,1,,,,,2026,102,66.6,,NE
REGULAR_SEASON,,14,61.8,,,,NE_P_01,P,1,,,,,2026,70,60.7,,NE
REGULAR_SEASON,,17,93.0,,,89.9,CHI_QB_01,QB,1,,,,83.6,2026,1083,,,CHI
REGULAR_SEASON,,17,69.5,69.7,,,CHI_RB_01,RB,1,66.9,,,61.0,2026,518,,,CHI
REGULAR_SEASON,,17,49.4,55.4,,,CHI_RB_03,RB,1,54.2,,,46.0,2026,326,,,CHI
REGULAR_SEASON,,17,61.8,60.3,,,CHI_RB_02,RB,1,64.0,,,64.6,2026,261,,,CHI
REGULAR_SEASON,,17,91.9,,,,CHI_WR_01,WR,1,85.8,87.2,,,2026,760,,,CHI
REGULAR_SEASON,,14,60.8,,,,CHI_WR_02,WR,1,60.0,65.5,,,2026,620,,,CHI
REGULAR_SEASON,,17,63.5,,,,CHI_WR_03,WR,1,61.6,68.1,,,2026,715,,,CHI
