assists,batted_passes,big_time_throws,blitz_snaps,broken_tackles,clean_att,competition_type,completions,contested_catches,contested_targets,coverage_snaps,deep_att,deep_comp,deep_targets,drops,drops_by_receivers,explosive_runs,fg_att,fg_att_30_39,fg_att_40_49,fg_att_50p,fg_att_u30,fg_made,fg_made_30_39,fg_made_40_49,fg_made_50p,fg_made_u30,first_downs,forced_fumbles,forced_incompletions,fumbles,fumbles_lost,games,gross_yards,gw_att,hits_allowed,hurries,hurries_allowed,inside_10,inside_20,int,kickoffs,longest,longest_fg,missed_tackles,missed_tackles_forced,net_yards,pass_att,pass_block_efficiency,pass_block_snaps,pass_breakups,pass_rush_snaps,pass_rush_win_rate,pass_td,pass_yd,passer_rating_allowed,penalties,play_action_att,player_id,position,pressure_att,pressure_comp,pressure_yd,pressures,pressures_allowed,punts,qb_hits,rec,rec_allowed,rec_td,rec_yd,return_yards_allowed,routes,run_block_losses,run_block_snaps,run_block_wins,run_stops,rush_att,rush_td,rush_yd,sack_yards,sacks,sacks_allowed,sacks_taken,scrambles,season,snaps,solo,starts,tackles,targets,td_allowed,team_id,tfl,throwaways,touchbacks,turnover_worthy_plays,week,xp_att,xp_made,yac,yards_after_contact,yards_allowed,yards_before_contact,yards_per_cov_snap
,,31.0,,,383.0,REGULAR_SEASON,331.0,,,,57.0,23.0,,,30.0,,,,,,,,,,,,156.0,,,4.0,2.0,16.0,,,,,,,,21.0,,,,,,,548.0,,,,,,7.0,3700.0,,,140.0,MIA_QB_01,QB,165.0,70.0,652.0,,,,,,,,,,,,,,,57.0,,265.0,251.0,,,39.0,32.0,2026,999.0,,16.0,,,,MIA,,23.0,,28.0,,,,,,,,
,,,,10.0,,REGULAR_SEASON,,24.0,56.0,,,,54.0,17.0,,18.0,,,,,,,,,,,99.0,,,1.0,,17.0,,,,,,,,,,,,,6.0,,,,99.0,,,,,,,,,MIA_RB_02,RB,,,,,9.0,,,203.0,,,2325.0,,178.0,,48.0,,,276.0,5.0,945.0,,,,,,2026,533.0,,,,340.0,,MIA,,,,,,,,897.0,320.0,,659.0,
,,,,11.0,,REGULAR_SEASON,,8.0,15.0,,,,21.0,2.0,,11.0,,,,,,,,,,,28.0,,,0.0,,12.0,,,,,,,,,,,,,3.0,,,,51.0,,,,,,,,,MIA_RB_01,RB,,,,,2.0,,,63.0,,,745.0,,83.0,,18.0,,,87.0,,307.0,,,,,,2026,254.0,,,,110.0,,MIA,,,,,,,,274.0,92.0,,217.0,
,,,,7.0,,REGULAR_SEASON,,6.0,13.0,,,,19.0,8.0,,5.0,,,,,,,,,,,22.0,,,0.0,,17.0,,,,,,,,,,,,,0.0,,,,99.0,,,,,,,,,MIA_RB_03,RB,,,,,12.0,,,58.0,,,745.0,,97.0,,22.0,,,81.0,,294.0,,,,,,2026,299.0,,,,103.0,,MIA,,,,,,,,277.0,126.0,,174.0,
,,,,,,REGULAR_SEASON,,27.0,39.0,,,,20.0,11.0,,,,,,,,,,,,,38.0,,,,,17.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,MIA_WR_01,WR,,,,,,,,93.0,,3.0,1137.0,,617.0,,210.0,,,,,,,,,,,2026,730.0,,,,187.0,,MIA,,,,,,,,455.0,,,,
,,,,,,REGULAR_SEASON,,16.0,29.0,,,,18.0,9.0,,,,,,,,,,,,,31.0,,,,,17.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,MIA_WR_06,WR,,,,,,,,72.0,,2.0,896.0,,605.0,,206.0,,,,,,,,,,,2026,717.0,,,,147.0,,MIA,,,,,,,,361.0,,,,
,,,,,,REGULAR_SEASON,,2.0,13.0,,,,15.0,4.0,,,,,,,,,,,,,15.0,,,,,17.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,MIA_WR_03,WR,,,,,,,,49.0,,1.0,600.0,,640.0,,218.0,,,,,,,,,,,2026,754.0,,,,97.0,,MIA,,,,,,,,220.0,,,,
,,,,,,REGULAR_SEASON,,2.0,4.0,,,,2.0,0.0,,,,,,,,,,,,,0.0,,,,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,MIA_WR_04,WR,,,,,,,,5.0,,,78.0,,185.0,,63.0,,,,,,,,,,,2026,218.0,,,,10.0,,MIA,,,,,,,,31.0,,,,
,,,,,,REGULAR_SEASON,,4.0,17.0,,,,18.0,6.0,,,,,,,,,,,,,20.0,,,,,17.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,MIA_TE_02,TE,,,,,,,,54.0,,,699.0,,578.0,,196.0,,,,,,,,,,,2026,685.0,,,,114.0,,MIA,,,,,,,,275.0,,,,
,,,,,,REGULAR_SEASON,,2.0,4.0,,,,5.0,3.0,,,,,,,,,,,,,0.0,,,,,15.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,MIA_TE_03,TE,,,,,,,,14.0,,,187.0,,483.0,,163.0,,,,,,,,,,,2026,571.0,,,,28.0,,MIA,,,,,,,,71.0,,,,
