competition_type,new_holder,new_value,previous_holder,previous_value,record,season
REGULAR_SEASON,IND_QB_01,45.0,CAR_QB_01,40.0,season_pass_td,2027
REGULAR_SEASON,LAC_RB_02,2202.0,NE_RB_03,1333.0,season_rush_yd,2027
REGULAR_SEASON,CIN_RB_01,21.0,DEN_RB_01,20.0,season_rush_td,2027
REGULAR_SEASON,PIT_RB_01,422.0,CAR_RB_01,248.0,season_rec,2027
REGULAR_SEASON,PIT_RB_01,4589.0,CAR_RB_01,2961.0,season_rec_yd,2027
REGULAR_SEASON,P100095_EDGE,19.0,KC_EDGE_02,18.0,season_sacks,2027
REGULAR_SEASON,LAC_QB_01,25.0,MIA_QB_01,21.0,season_int,2027
REGULAR_SEASON,KC_LB_02,128.0,PHI_LB_02,113.0,season_tackles,2027
REGULAR_SEASON,DEN_QB_01,9426.0,CAR_QB_01,4869.0,career_pass_yd,2027
REGULAR_SEASON,CIN_QB_01,72.0,CAR_QB_01,40.0,career_pass_td,2027
REGULAR_SEASON,CIN_RB_01,3316.0,NE_RB_03,1333.0,career_rush_yd,2027
REGULAR_SEASON,PIT_RB_01,628.0,CAR_RB_01,248.0,career_rec,2027
REGULAR_SEASON,CIN_RB_01,7102.0,CAR_RB_01,2961.0,career_rec_yd,2027
REGULAR_SEASON,SF_WR_03,16.0,DET_WR_03,9.0,career_rec_td,2027
REGULAR_SEASON,TB_EDGE_02,26.0,KC_EDGE_02,18.0,career_sacks,2027
REGULAR_SEASON,HOU_QB_01,33.0,MIA_QB_01,21.0,career_int,2027
REGULAR_SEASON,KC_LB_02,237.0,PHI_LB_02,113.0,career_tackles,2027
REGULAR_SEASON,CLE_DT_03,8.0,CHI_EDGE_02,5.0,career_forced_fumbles,2027
PLAYOFFS,SF_QB_01,1433.0,TEN_QB_01,1028.0,career_pass_yd,2027
PLAYOFFS,DEN_QB_01,9.0,TEN_QB_01,6.0,career_pass_td,2027
PLAYOFFS,SF_RB_01,473.0,TEN_RB_02,291.0,career_rush_yd,2027
PLAYOFFS,SF_RB_01,1090.0,TEN_RB_02,683.0,career_rec_yd,2027
PLAYOFFS,DEN_WR_02,3.0,KC_WR_03,2.0,career_rec_td,2027
PLAYOFFS,DET_S_01,35.0,SF_LB_02,31.0,career_tackles,2027
PLAYOFFS,KC_DT_01,2.0,TEN_EDGE_02,1.0,career_forced_fumbles,2027
REGULAR_SEASON,GB_QB_01,4919.0,CAR_QB_01,4869.0,season_pass_yd,2028
REGULAR_SEASON,IND_QB_01,50.0,IND_QB_01,45.0,season_pass_td,2028
REGULAR_SEASON,IND_QB_01,13749.0,DEN_QB_01,9426.0,career_pass_yd,2028
REGULAR_SEASON,IND_QB_01,115.0,CIN_QB_01,72.0,career_pass_td,2028
REGULAR_SEASON,CIN_RB_01,52.0,DEN_RB_01,39.0,career_rush_td,2028
REGULAR_SEASON,KC_WR_03,20.0,SF_WR_03,16.0,career_rec_td,2028
REGULAR_SEASON,TB_DT_02,9.0,CLE_DT_03,8.0,career_forced_fumbles,2028
PLAYOFFS,CHI_QB_01,2431.0,SF_QB_01,1433.0,career_pass_yd,2028
PLAYOFFS,CHI_QB_01,21.0,DEN_QB_01,9.0,career_pass_td,2028
PLAYOFFS,DET_LB_01,52.0,DET_S_01,35.0,career_tackles,2028
REGULAR_SEASON,CHI_QB_01,5073.0,GB_QB_01,4919.0,season_pass_yd,2029
REGULAR_SEASON,PHI_WR_03,10.0,DET_WR_03,9.0,season_rec_td,2029
REGULAR_SEASON,CIN_RB_01,1368.0,PIT_RB_01,1042.0,career_rec,2029
REGULAR_SEASON,PHI_WR_03,29.0,KC_WR_03,20.0,career_rec_td,2029
REGULAR_SEASON,BAL_EDGE_02,49.0,TB_EDGE_02,39.0,career_sacks,2029
REGULAR_SEASON,PHI_LB_02,415.0,KC_LB_02,313.0,career_tackles,2029
REGULAR_SEASON,PIT_DT_02,10.0,TB_DT_02,9.0,career_forced_fumbles,2029
PLAYOFFS,NYG_RB_03,702.0,SF_RB_01,656.0,career_rush_yd,2029
PLAYOFFS,NYG_RB_03,146.0,SF_RB_01,124.0,career_rec,2029
PLAYOFFS,NYG_RB_03,1671.0,SF_RB_01,1365.0,career_rec_yd,2029
