award_type,player_id,season
MVP,DET_QB_01,2026
OPOY,CAR_WR_03,2026
DPOY,DET_DT_02,2026
OROY,DET_RB_02,2026
DROY,DEN_DT_02,2026
MVP,IND_QB_01,2027
OPOY,CIN_RB_01,2027
DPOY,ATL_DT_01,2027
OROY,P100022_WR,2027
DROY,P100191_EDGE,2027
MOST_IMPROVED,LAR_DT_05,2027
MVP,GB_QB_01,2028
OPOY,LV_WR_01,2028
DPOY,SF_EDGE_02,2028
OROY,P100544_RB,2028
DROY,P100329_LB,2028
MOST_IMPROVED,KC_DT_01,2028
MVP,DEN_QB_01,2029
OPOY,PHI_WR_03,2029
DPOY,PHI_DT_01,2029
OROY,P100615_WR,2029
DROY,P100707_EDGE,2029
MOST_IMPROVED,PHI_DT_01,2029
MVP,GB_QB_01,2030
OPOY,P101125_WR,2030
DPOY,PHI_S_02,2030
OROY,P100963_RB,2030
DROY,P101140_S,2030
MOST_IMPROVED,NYG_EDGE_02,2030
MVP,DEN_QB_01,2031
OPOY,PHI_WR_03,2031
DPOY,P100707_EDGE,2031
OROY,P101365_RB,2031
DROY,P101267_DT,2031
MOST_IMPROVED,KC_CB_02,2031
