category,competition_type,player_id,season,value
pass_yd,REGULAR_SEASON,CAR_QB_01,2026,4869.0
pass_td,REGULAR_SEASON,CAR_QB_01,2026,40.0
rush_yd,REGULAR_SEASON,NE_RB_03,2026,1333.0
rush_td,REGULAR_SEASON,DEN_RB_01,2026,20.0
rec,REGULAR_SEASON,CAR_RB_01,2026,248.0
rec_yd,REGULAR_SEASON,CAR_RB_01,2026,2961.0
rec_td,REGULAR_SEASON,DET_WR_03,2026,9.0
sacks,REGULAR_SEASON,KC_EDGE_02,2026,18.0
int,REGULAR_SEASON,MIA_QB_01,2026,21.0
tackles,REGULAR_SEASON,PHI_LB_02,2026,113.0
forced_fumbles,REGULAR_SEASON,CHI_EDGE_02,2026,5.0
pass_yd,REGULAR_SEASON,IND_QB_01,2027,4759.0
pass_td,REGULAR_SEASON,IND_QB_01,2027,45.0
rush_yd,REGULAR_SEASON,LAC_RB_02,2027,2202.0
rush_td,REGULAR_SEASON,CIN_RB_01,2027,21.0
rec,REGULAR_SEASON,PIT_RB_01,2027,422.0
rec_yd,REGULAR_SEASON,PIT_RB_01,2027,4589.0
rec_td,REGULAR_SEASON,CIN_WR_01,2027,9.0
sacks,REGULAR_SEASON,P100095_EDGE,2027,19.0
int,REGULAR_SEASON,LAC_QB_01,2027,25.0
tackles,REGULAR_SEASON,KC_LB_02,2027,128.0
forced_fumbles,REGULAR_SEASON,MIN_EDGE_01,2027,5.0
pass_yd,REGULAR_SEASON,GB_QB_01,2028,4919.0
pass_td,REGULAR_SEASON,IND_QB_01,2028,50.0
rush_yd,REGULAR_SEASON,CIN_RB_01,2028,2068.0
rush_td,REGULAR_SEASON,P100371_RB,2028,18.0
rec,REGULAR_SEASON,PIT_RB_01,2028,414.0
rec_yd,REGULAR_SEASON,PIT_RB_01,2028,4559.0
rec_td,REGULAR_SEASON,KC_WR_03,2028,9.0
sacks,REGULAR_SEASON,BAL_EDGE_02,2028,18.0
int,REGULAR_SEASON,HOU_QB_01,2028,21.0
tackles,REGULAR_SEASON,P100585_LB,2028,118.0
forced_fumbles,REGULAR_SEASON,KC_DT_03,2028,4.0
pass_yd,REGULAR_SEASON,CHI_QB_01,2029,5073.0
pass_td,REGULAR_SEASON,IND_QB_01,2029,38.0
rush_yd,REGULAR_SEASON,NYG_RB_03,2029,2111.0
rush_td,REGULAR_SEASON,PIT_RB_03,2029,18.0
rec,REGULAR_SEASON,NYG_RB_03,2029,372.0
rec_yd,REGULAR_SEASON,CIN_RB_01,2029,4464.0
rec_td,REGULAR_SEASON,PHI_WR_03,2029,10.0
sacks,REGULAR_SEASON,P100586_EDGE,2029,17.0
int,REGULAR_SEASON,P100863_QB,2029,22.0
tackles,REGULAR_SEASON,SF_LB_01,2029,119.0
forced_fumbles,REGULAR_SEASON,CLE_EDGE_01,2029,4.0
pass_yd,REGULAR_SEASON,CIN_QB_01,2030,4819.0
pass_td,REGULAR_SEASON,CIN_QB_01,2030,46.0
rush_yd,REGULAR_SEASON,P100963_RB,2030,2291.0
rush_td,REGULAR_SEASON,PHI_RB_01,2030,19.0
rec,REGULAR_SEASON,SF_RB_04,2030,403.0
rec_yd,REGULAR_SEASON,P100371_RB,2030,4579.0
rec_td,REGULAR_SEASON,PIT_WR_05,2030,11.0
sacks,REGULAR_SEASON,MIA_EDGE_01,2030,17.0
int,REGULAR_SEASON,TB_QB_02,2030,15.0
tackles,REGULAR_SEASON,FA_LB_159,2030,114.0
forced_fumbles,REGULAR_SEASON,P100480_EDGE,2030,5.0
pass_yd,REGULAR_SEASON,DEN_QB_01,2031,5120.0
pass_td,REGULAR_SEASON,CAR_QB_01,2031,45.0
rush_yd,REGULAR_SEASON,DET_RB_02,2031,2153.0
rush_td,REGULAR_SEASON,DET_RB_02,2031,20.0
rec,REGULAR_SEASON,DET_RB_02,2031,445.0
rec_yd,REGULAR_SEASON,DET_RB_02,2031,5120.0
rec_td,REGULAR_SEASON,CIN_WR_04,2031,10.0
sacks,REGULAR_SEASON,P100946_EDGE,2031,15.0
int,REGULAR_SEASON,TB_QB_02,2031,18.0
tackles,REGULAR_SEASON,P101392_LB,2031,117.0
forced_fumbles,REGULAR_SEASON,P101267_DT,2031,6.0
