coach_id,play_calling,game_management,player_development,talent_evaluation,leadership,adaptability,aggressiveness,discipline,motivation,staff_management,scheme_innovation,clock_management,data_class
CCH0001,86,86,60,82,89,70,80,78,72,82,66,79,MODELED
CCH0002,53,65,45,53,53,54,52,55,67,50,49,65,MODELED
CCH0003,94,62,62,80,77,70,71,67,66,73,64,69,MODELED
CCH0004,60,61,32,44,55,47,35,26,41,48,54,48,MODELED
CCH0005,53,58,68,44,43,32,46,63,65,66,65,60,MODELED
CCH0006,54,57,66,67,54,39,64,57,62,72,59,54,MODELED
CCH0007,47,63,59,49,42,50,34,55,46,68,48,50,MODELED
CCH0008,36,51,63,54,42,42,49,40,49,56,37,39,MODELED
CCH0009,46,48,63,50,43,55,45,60,52,41,57,62,MODELED
CCH0010,47,68,73,68,53,52,65,64,47,52,54,54,MODELED
CCH0011,37,72,79,69,80,74,88,83,70,84,75,75,MODELED
CCH0012,60,62,75,63,62,49,51,48,59,60,68,58,MODELED
CCH0013,44,77,75,52,61,54,68,54,86,52,61,57,MODELED
CCH0014,43,53,55,46,41,47,67,31,49,35,47,33,MODELED
CCH0015,72,67,89,81,79,90,88,84,75,82,90,71,MODELED
CCH0016,84,77,79,63,73,70,80,59,65,76,82,77,MODELED
CCH0017,77,58,58,71,65,71,57,70,73,57,57,63,MODELED
CCH0018,83,64,70,37,78,68,69,71,69,67,77,75,MODELED
CCH0019,62,62,60,51,60,54,62,62,74,85,74,56,MODELED
CCH0020,63,56,95,56,47,63,71,61,61,66,62,60,MODELED
CCH0021,37,32,54,46,30,46,56,36,47,46,54,49,MODELED
CCH0022,43,55,59,80,78,61,57,65,56,64,75,51,MODELED
CCH0023,44,66,57,51,48,49,43,60,44,53,50,31,MODELED
CCH0024,31,69,51,61,68,50,60,76,60,51,65,53,MODELED
CCH0025,47,48,70,50,30,48,39,61,67,56,62,58,MODELED
CCH0026,57,58,48,64,53,63,49,55,45,60,55,44,MODELED
CCH0027,31,44,62,49,34,53,53,50,48,54,60,37,MODELED
CCH0028,48,48,62,71,65,46,63,57,67,63,78,65,MODELED
CCH0029,78,71,88,80,73,76,86,89,78,72,86,65,MODELED
CCH0030,32,55,63,43,54,49,31,50,51,53,64,30,MODELED
CCH0031,74,66,71,68,55,64,74,59,54,71,53,71,MODELED
CCH0032,68,74,45,59,69,74,65,48,65,65,59,65,MODELED
CCH0033,76,70,60,71,81,74,65,66,72,48,76,70,MODELED
CCH0034,84,81,87,81,93,70,94,82,99,81,99,92,MODELED
CCH0035,19,63,59,50,40,53,48,55,57,47,58,42,MODELED
CCH0036,35,47,55,64,47,58,56,49,39,49,44,69,MODELED
CCH0037,51,64,76,70,55,74,73,71,70,64,66,55,MODELED
CCH0038,49,72,82,49,85,64,62,66,72,79,69,62,MODELED
CCH0039,59,76,66,59,61,60,49,55,76,76,62,74,MODELED
CCH0040,53,71,78,62,52,67,58,74,63,76,65,80,MODELED
CCH0041,54,39,54,66,50,49,56,56,50,54,51,49,MODELED
CCH0042,55,68,54,45,57,62,61,46,55,58,56,58,MODELED
CCH0043,30,60,67,66,61,42,57,81,49,67,75,52,MODELED
CCH0044,41,73,70,75,59,70,81,70,74,74,57,51,MODELED
CCH0045,54,49,90,77,71,81,65,68,59,86,77,86,MODELED
CCH0046,89,85,61,74,84,73,78,79,70,88,76,98,MODELED
CCH0047,65,66,51,52,63,56,53,43,54,75,69,57,MODELED
CCH0048,89,72,74,78,70,61,59,60,64,86,75,70,MODELED
CCH0049,76,72,74,56,65,82,88,71,68,68,68,85,MODELED
CCH0050,38,57,68,57,50,58,62,54,42,69,51,63,MODELED
CCH0051,67,72,78,65,58,65,69,61,89,68,68,68,MODELED
CCH0052,39,81,70,72,55,61,59,70,56,67,67,52,MODELED
CCH0053,52,69,71,48,46,54,59,75,54,59,54,67,MODELED
CCH0054,87,99,99,99,99,97,89,99,89,99,86,81,MODELED
CCH0055,53,64,67,43,37,69,62,58,57,61,78,45,MODELED
CCH0056,43,54,67,59,61,62,70,77,78,71,78,60,MODELED
CCH0057,40,69,69,63,86,59,78,75,76,61,72,70,MODELED
CCH0058,61,64,56,71,69,70,74,53,54,66,55,69,MODELED
CCH0059,49,71,60,60,65,71,43,57,67,66,54,49,MODELED
CCH0060,57,66,77,65,63,75,72,67,57,73,54,78,MODELED
CCH0061,91,99,76,83,81,85,76,70,95,88,72,86,MODELED
CCH0062,46,58,51,70,45,79,66,57,59,40,64,56,MODELED
CCH0063,77,65,72,73,69,65,74,68,86,67,56,76,MODELED
CCH0064,86,63,54,69,61,79,74,53,67,67,64,66,MODELED
CCH0065,47,74,67,61,87,82,62,66,63,79,56,73,MODELED
CCH0066,40,62,61,46,62,47,44,52,45,52,36,44,MODELED
