college_id,name,abbreviation,conference,conference_abbr,division_tier,talent_level,nfl_pipeline_rate,data_class
COL0001,Calderwood State,CS,Great Lakes Alliance,GLA,1,7,0.682,GENERATED
COL0002,Calderwood University,CU,Atlantic Coastal League,ACL,1,8,0.658,GENERATED
COL0003,Calderwood Tech,CT,Plains Conference,PLC,1,4,0.354,GENERATED
COL0004,Calderwood A&M,CA,Pacific Rim Conference,PRC,1,7,0.583,GENERATED
COL0005,Calderwood College,CC,Heartland Athletic,HLA,2,5,0.379,GENERATED
COL0006,Calderwood Institute,CI,Gateway Conference,GWY,2,5,0.386,GENERATED
COL0007,Calderwood State Tech,CS,Mountain Crest Conference,MCC,2,7,0.594,GENERATED
COL0008,Fort Grayson State,FGS,Seaboard Association,SBA,2,5,0.407,GENERATED
COL0009,Fort Grayson University,FGU,Northern Valley Conference,NVC,3,3,0.264,GENERATED
COL0010,Fort Grayson Tech,FGT,Frontier League,FRL,3,1,0.067,GENERATED
COL0011,Fort Grayson A&M,FGA,Independent,IND,2,6,0.487,GENERATED
COL0012,Fort Grayson College,FGC,Southern Athletic Conference,SAC,1,6,0.559,GENERATED
COL0013,Fort Grayson Institute,FGI,Great Lakes Alliance,GLA,1,7,0.502,GENERATED
COL0014,Fort Grayson State Tech,FGS,Atlantic Coastal League,ACL,1,6,0.601,GENERATED
COL0015,Ashfield State,AS,Plains Conference,PLC,1,6,0.51,GENERATED
COL0016,Ashfield University,AU,Pacific Rim Conference,PRC,1,8,0.658,GENERATED
COL0017,Ashfield Tech,AT,Heartland Athletic,HLA,2,3,0.374,GENERATED
COL0018,Ashfield A&M,AA,Gateway Conference,GWY,2,6,0.561,GENERATED
COL0019,Ashfield College,AC,Mountain Crest Conference,MCC,2,6,0.486,GENERATED
COL0020,Ashfield Institute,AI,Seaboard Association,SBA,2,8,0.695,GENERATED
COL0021,Ashfield State Tech,AS,Northern Valley Conference,NVC,3,4,0.37,GENERATED
COL0022,Marbury State,MS,Frontier League,FRL,3,1,0.05,GENERATED
COL0023,Marbury University,MU,Independent,IND,2,4,0.222,GENERATED
COL0024,Marbury Tech,MT,Southern Athletic Conference,SAC,1,7,0.53,GENERATED
COL0025,Marbury A&M,MA,Great Lakes Alliance,GLA,1,6,0.478,GENERATED
COL0026,Marbury College,MC,Atlantic Coastal League,ACL,1,8,0.687,GENERATED
COL0027,Marbury Institute,MI,Plains Conference,PLC,1,9,0.796,GENERATED
COL0028,Marbury State Tech,MS,Pacific Rim Conference,PRC,1,8,0.687,GENERATED
COL0029,Stonewell State,SS,Heartland Athletic,HLA,2,4,0.379,GENERATED
COL0030,Stonewell University,SU,Gateway Conference,GWY,2,6,0.489,GENERATED
COL0031,Stonewell Tech,ST,Mountain Crest Conference,MCC,2,5,0.42,GENERATED
COL0032,Stonewell A&M,SA,Seaboard Association,SBA,2,4,0.358,GENERATED
COL0033,Stonewell College,SC,Northern Valley Conference,NVC,3,4,0.296,GENERATED
COL0034,Stonewell Institute,SI,Frontier League,FRL,3,1,0.063,GENERATED
COL0035,Stonewell State Tech,SS,Independent,IND,2,5,0.447,GENERATED
COL0036,Kelvinridge State,KS,Southern Athletic Conference,SAC,1,8,0.683,GENERATED
COL0037,Kelvinridge University,KU,Great Lakes Alliance,GLA,1,8,0.694,GENERATED
COL0038,Kelvinridge Tech,KT,Atlantic Coastal League,ACL,1,8,0.739,GENERATED
COL0039,Kelvinridge A&M,KA,Plains Conference,PLC,1,4,0.343,GENERATED
COL0040,Kelvinridge College,KC,Pacific Rim Conference,PRC,1,8,0.671,GENERATED
COL0041,Kelvinridge Institute,KI,Heartland Athletic,HLA,2,6,0.523,GENERATED
COL0042,Kelvinridge State Tech,KS,Gateway Conference,GWY,2,6,0.483,GENERATED
COL0043,Northcrest State,NS,Mountain Crest Conference,MCC,2,5,0.419,GENERATED
COL0044,Northcrest University,NU,Seaboard Association,SBA,2,5,0.455,GENERATED
COL0045,Northcrest Tech,NT,Northern Valley Conference,NVC,3,4,0.375,GENERATED
COL0046,Northcrest A&M,NA,Frontier League,FRL,3,2,0.21,GENERATED
COL0047,Northcrest College,NC,Independent,IND,2,7,0.57,GENERATED
COL0048,Northcrest Institute,NI,Southern Athletic Conference,SAC,1,6,0.509,GENERATED
