pick_id,draft_year,round,pick_in_round,overall_pick,original_team_id,current_owner_team_id,compensatory,data_class
DP2027R1P01,2027,1,1,1,MIA,MIA,0,GENERATED
DP2027R1P02,2027,1,2,2,BUF,BUF,0,GENERATED
DP2027R1P03,2027,1,3,3,HOU,HOU,0,GENERATED
DP2027R1P04,2027,1,4,4,NE,NE,0,GENERATED
DP2027R1P05,2027,1,5,5,NYG,NYG,0,GENERATED
DP2027R1P06,2027,1,6,6,LAC,LAC,0,GENERATED
DP2027R1P07,2027,1,7,7,BAL,BAL,0,GENERATED
DP2027R1P08,2027,1,8,8,ARI,ARI,0,GENERATED
DP2027R1P09,2027,1,9,9,WAS,IND,0,GENERATED
DP2027R1P10,2027,1,10,10,DAL,DAL,0,GENERATED
DP2027R1P11,2027,1,11,11,CHI,CHI,0,GENERATED
DP2027R1P12,2027,1,12,12,IND,IND,0,GENERATED
DP2027R1P13,2027,1,13,13,TB,TB,0,GENERATED
DP2027R1P14,2027,1,14,14,PHI,PHI,0,GENERATED
DP2027R1P15,2027,1,15,15,CLE,CLE,0,GENERATED
DP2027R1P16,2027,1,16,16,SEA,SEA,0,GENERATED
DP2027R1P17,2027,1,17,17,CIN,CIN,0,GENERATED
DP2027R1P18,2027,1,18,18,MIN,MIN,0,GENERATED
DP2027R1P19,2027,1,19,19,LAR,LAR,0,GENERATED
DP2027R1P20,2027,1,20,20,JAX,JAX,0,GENERATED
DP2027R1P21,2027,1,21,21,NYJ,NYJ,0,GENERATED
DP2027R1P22,2027,1,22,22,TEN,LAC,0,GENERATED
DP2027R1P23,2027,1,23,23,DEN,DEN,0,GENERATED
DP2027R1P24,2027,1,24,24,LV,LV,0,GENERATED
DP2027R1P25,2027,1,25,25,ATL,LAC,0,GENERATED
DP2027R1P26,2027,1,26,26,SF,SF,0,GENERATED
DP2027R1P27,2027,1,27,27,GB,GB,0,GENERATED
DP2027R1P28,2027,1,28,28,NO,NO,0,GENERATED
DP2027R1P29,2027,1,29,29,CAR,CAR,0,GENERATED
DP2027R1P30,2027,1,30,30,KC,KC,0,GENERATED
DP2027R1P31,2027,1,31,31,PIT,PIT,0,GENERATED
DP2027R1P32,2027,1,32,32,DET,DET,0,GENERATED
