team_id,season,salary_cap,top51_cap_spend,cap_space,dead_cap,cash_spend,local_revenue,national_revenue,total_revenue,operating_expenses,operating_income,stadium_capacity,market_size,data_class
BUF,2026,302000000,260418491,40974249,607260,210164452,240104023,415000000,655104023,388454694,266649329,68400,4,MODELED
MIA,2026,302000000,258833859,42610857,555284,206613357,290785405,415000000,705785405,348535233,357250172,65300,7,MODELED
NE,2026,302000000,297432363,3980093,587544,232979332,297375400,415000000,712375400,427006210,285369190,65900,8,MODELED
NYJ,2026,302000000,264903783,36532350,563866,210748268,323152447,415000000,738152447,397899868,340252579,82500,10,MODELED
BAL,2026,302000000,287581307,13957720,460972,234886939,261873201,415000000,676873201,429078217,247794985,71000,6,MODELED
PIT,2026,302000000,274161552,27447745,390703,210743304,240604558,415000000,655604558,396788005,258816553,68400,5,MODELED
CLE,2026,302000000,261237449,40066643,695908,201941787,245776537,415000000,660776537,358911032,301865505,67400,5,MODELED
CIN,2026,302000000,293150138,8030198,819664,243700255,239618136,415000000,654618136,419037719,235580417,65500,5,MODELED
HOU,2026,302000000,261864405,39512490,623105,210025939,328634377,415000000,743634377,381983848,361650529,72200,9,MODELED
IND,2026,302000000,254198525,47297696,503779,210770376,249504213,415000000,664504213,387384325,277119888,67000,5,MODELED
JAX,2026,302000000,255288572,46316593,394835,201098153,212847813,415000000,627847813,363550947,264296866,67800,4,MODELED
TEN,2026,302000000,259986734,41648955,364311,208543488,247727085,415000000,662727085,408061403,254665682,69100,5,MODELED
DEN,2026,302000000,261130852,40559944,309204,195640890,302549002,415000000,717549002,383657515,333891487,76100,6,MODELED
KC,2026,302000000,274301538,27284213,414249,219324853,246091063,415000000,661091063,402336031,258755032,76400,5,MODELED
LV,2026,302000000,278402677,23367440,229883,218773331,236243765,415000000,651243765,389478236,261765529,65000,5,MODELED
LAC,2026,302000000,292067926,9243961,688113,229648161,283776848,415000000,698776848,418983704,279793144,70200,10,MODELED
DAL,2026,302000000,286512773,14976329,510898,240644273,343731603,415000000,758731603,423029197,335702406,80000,9,MODELED
PHI,2026,302000000,258141503,43246836,611661,207616602,320651793,415000000,735651793,367767658,367884135,69800,8,MODELED
WAS,2026,302000000,293608203,7913657,478140,234956813,282792541,415000000,697792541,411350413,286442128,67000,8,MODELED
NYG,2026,302000000,274372770,26995112,632118,218466803,376214221,415000000,791214221,447253544,343960676,82500,10,MODELED
CHI,2026,302000000,257281010,44384325,334665,207681599,261155466,415000000,676155466,380512683,295642783,62500,9,MODELED
DET,2026,302000000,260394020,41161232,444748,206319101,228906741,415000000,643906741,385624891,258281851,65000,6,MODELED
GB,2026,302000000,263729667,37795073,475260,211329744,222809154,415000000,637809154,360722248,277086906,81400,2,MODELED
MIN,2026,302000000,288793248,12739935,466817,233685068,300369127,415000000,715369127,459510012,255859114,66900,6,MODELED
ATL,2026,302000000,292572589,8878545,548866,223986731,269646422,415000000,684646422,412594065,272052357,71000,7,MODELED
CAR,2026,302000000,270368329,31184760,446911,209284787,250449913,415000000,665449913,370067078,295382835,74900,5,MODELED
NO,2026,302000000,291291884,10211705,496411,228695474,241893046,415000000,656893046,412329873,244563173,73200,4,MODELED
TB,2026,302000000,291688308,9755540,556152,238586730,272480805,415000000,687480805,409295159,278185646,69200,6,MODELED
ARI,2026,302000000,290269678,11055213,675109,241888899,271687475,415000000,686687475,418976990,267710485,63400,6,MODELED
LAR,2026,302000000,271963345,29663496,373159,219647015,350882416,415000000,765882416,415050804,350831611,70200,10,MODELED
SF,2026,302000000,260030953,41661286,307761,204389206,321071870,415000000,736071870,396514563,339557306,68500,9,MODELED
SEA,2026,302000000,280571043,20893091,535866,219017140,275889822,415000000,690889822,395256130,295633692,69000,7,MODELED
