player_id,display_name,position,age,experience_years,overall_rating,previous_team_id,market_asking_aav,expected_years,interest_level,fa_type,data_class
FA_EDGE_001,Zico Estrada,EDGE,29,7,68,NYG,1420000,1,35,Street FA,GENERATED
FA_DT_002,Basil Plunkett,DT,29,6,57,CIN,1330000,2,41,UFA,GENERATED
FA_LB_003,Hasani Leblanc,LB,24,1,63,SF,1030000,1,57,Street FA,GENERATED
FA_DT_004,Caleb Honeycutt,DT,27,5,68,SF,1330000,2,33,Camp Cut,GENERATED
FA_WR_005,Marquise Finnegan,WR,28,4,77,NO,5598047,3,58,UFA,GENERATED
FA_K_006,Duncan Hilliard,K,27,5,78,TB,1330000,3,25,Camp Cut,GENERATED
FA_CB_007,Porter Blakeney,CB,29,5,51,MIA,1330000,2,54,Street FA,GENERATED
FA_CB_008,Carlisle Noteboom,CB,29,5,56,CAR,1330000,1,39,Street FA,GENERATED
FA_K_009,Holden Duckworth,K,27,3,63,CIN,1210000,2,48,Street FA,GENERATED
FA_CB_010,Killian Stallworth,CB,35,11,50,LAC,1420000,3,25,UFA,GENERATED
FA_S_011,Stellan Forsythe,S,27,5,65,PHI,1330000,1,38,Street FA,GENERATED
FA_OT_012,Gerard Charbonnet,OT,26,4,67,NYJ,1330000,1,54,UFA,GENERATED
FA_EDGE_013,Saul Valentino,EDGE,26,4,65,GB,1330000,2,54,UFA,GENERATED
FA_QB_014,Gibson Legette,QB,30,7,73,NE,5339122,3,54,Street FA,GENERATED
FA_S_015,Anders Melchior,S,27,3,63,CLE,1210000,2,50,Camp Cut,GENERATED
FA_OG_016,Maddox Onwuasor,OG,26,4,46,GB,1330000,3,37,Street FA,GENERATED
FA_CB_017,Camden Berrios,CB,27,4,66,LAR,1330000,1,42,Camp Cut,GENERATED
FA_OG_018,Orion Threadgill,OG,24,2,63,LAC,1130000,3,52,Camp Cut,GENERATED
FA_WR_019,Ollie Greaves,WR,32,9,58,SF,1420000,3,26,UFA,GENERATED
FA_CB_020,Yannick Swaggerty,CB,31,9,57,CAR,1420000,3,63,UFA,GENERATED
FA_RB_021,Efrain Teasdale,RB,24,1,72,IND,1159552,3,16,Street FA,GENERATED
FA_QB_022,Sergio Gostkowski,QB,26,2,69,JAX,2458801,2,58,UFA,GENERATED
FA_EDGE_023,Baylor Wainwright,EDGE,36,12,52,PIT,1420000,2,63,UFA,GENERATED
FA_DT_024,Arch Oduya,DT,27,3,50,PIT,1210000,1,46,UFA,GENERATED
FA_WR_025,Arlo Helaire,WR,26,2,58,DEN,1130000,2,47,Street FA,GENERATED
FA_C_026,Miller Panganiban,C,26,2,62,MIN,1130000,2,11,UFA,GENERATED
FA_WR_027,Kendrick Tabaracci,WR,32,8,76,MIA,4890281,1,58,Street FA,GENERATED
