player_id,position,speed,acceleration,agility,strength,stamina,durability,awareness,football_iq,work_ethic,consistency,anchor,ball_skills,blitzing,block_shedding,break_tackle,carrying,catch_in_traffic,catching,clutch,contact_balance,coverage,decision_making,deep_accuracy,directional,elusiveness,finesse_move,hang_time,kick_accuracy,kick_power,kickoff_power,lead_block,line_calls,man_coverage,medium_accuracy,pass_block,pass_protection,pass_rush,play_action,play_recognition,pocket_presence,power,power_move,press,pressure_handling,punt_accuracy,punt_power,pursuit,receiving,release,route_running,run_block,run_defense,run_support,scrambling,second_level,separation,short_accuracy,snap_accuracy,snap_speed,spectacular_catch,tackling,technique,throw_on_run,throw_power,vision,zone_coverage,data_class
BUF_QB_01,QB,72,76,87,81,87,52,87,85,59,70,,,,,,,,,,,,73,83,,,,,,,,,,,76,,,,79,,87,,,,83,,,,,,,,,,99,,,83,,,,,,79,80,,,MODELED
BUF_QB_02,QB,55,51,62,55,75,63,72,66,72,54,,,,,,,,,,,,52,60,,,,,,,,,,,64,,,,60,,76,,,,60,,,,,,,,,,60,,,71,,,,,,49,62,,,MODELED
BUF_QB_03,QB,50,71,59,65,68,90,71,63,59,63,,,,,,,,,,,,78,63,,,,,,,,,,,56,,,,67,,68,,,,67,,,,,,,,,,73,,,61,,,,,,67,75,,,MODELED
BUF_QB_04,QB,50,50,56,58,87,41,61,56,62,58,,,,,,,,,,,,58,59,,,,,,,,,,,61,,,,51,,54,,,,53,,,,,,,,,,55,,,69,,,,,,56,68,,,MODELED
BUF_RB_01,RB,72,77,74,72,76,50,60,70,65,63,,,,,71,67,,,,59,,,,,63,,,,,,,,,,,72,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,66,,MODELED
BUF_RB_02,RB,76,68,72,66,77,62,66,71,75,58,,,,,60,62,,,,55,,,,,48,,,,,,,,,,,58,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,63,,MODELED
BUF_RB_03,RB,68,71,69,60,79,56,47,54,60,50,,,,,58,54,,,,53,,,,,44,,,,,,,,,,,57,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,56,,MODELED
BUF_RB_04,RB,77,79,67,71,83,74,71,66,83,83,,,,,67,82,,,,77,,,,,71,,,,,,,,,,,74,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,67,,MODELED
BUF_RB_05,RB,59,64,68,56,75,66,56,52,59,51,,,,,63,58,,,,40,,,,,56,,,,,,,,,,,59,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,51,,MODELED
BUF_FB_01,FB,66,70,60,86,67,65,78,80,75,85,,,,,,60,,,,75,,,,,,,,,,,73,,,,,66,,,,,,,,,,,,74,,,65,,,,,,,,,,,,,,,,MODELED
BUF_WR_01,WR,87,82,75,79,88,34,90,87,76,63,,,,,,,76,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,87,76,,,,,68,,,,84,,,,,,,MODELED
BUF_WR_02,WR,87,82,85,66,76,59,70,76,66,65,,,,,,,75,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,77,80,,,,,87,,,,75,,,,,,,MODELED
BUF_WR_03,WR,91,89,89,69,83,79,79,78,73,71,,,,,,,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,85,80,,,,,74,,,,70,,,,,,,MODELED
BUF_WR_04,WR,80,86,72,63,87,76,64,68,78,66,,,,,,,69,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,76,66,,,,,70,,,,72,,,,,,,MODELED
BUF_WR_05,WR,71,79,83,47,83,75,61,66,80,71,,,,,,,67,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,63,65,,,,,73,,,,63,,,,,,,MODELED
BUF_WR_06,WR,74,80,66,52,81,73,68,67,90,69,,,,,,,66,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,64,73,,,,,59,,,,66,,,,,,,MODELED
BUF_WR_07,WR,57,65,68,50,79,72,63,44,70,55,,,,,,,54,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,55,57,,,,,57,,,,51,,,,,,,MODELED
BUF_WR_08,WR,62,74,72,47,77,55,53,65,47,64,,,,,,,45,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,60,57,,,,,49,,,,38,,,,,,,MODELED
BUF_WR_09,WR,65,71,51,57,69,90,70,57,60,61,,,,,,,69,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,58,64,,,,,58,,,,54,,,,,,,MODELED
BUF_WR_10,WR,60,73,70,53,87,52,62,61,86,80,,,,,,,58,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,49,74,,,,,61,,,,50,,,,,,,MODELED
BUF_WR_11,WR,64,70,63,45,83,85,67,41,77,50,,,,,,,66,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,38,58,,,,,62,,,,63,,,,,,,MODELED
BUF_TE_01,TE,64,56,67,72,94,81,78,69,73,72,,,,,,,66,71,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,60,55,78,,,,,68,,,,65,,,,,,,MODELED
BUF_TE_02,TE,71,65,77,72,86,82,72,60,60,65,,,,,,,64,70,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,65,70,66,,,,,65,,,,60,,,,,,,MODELED
BUF_TE_03,TE,75,86,82,82,86,81,77,86,64,72,,,,,,,82,79,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,78,71,77,,,,,71,,,,75,,,,,,,MODELED
BUF_TE_04,TE,60,60,63,67,81,65,61,59,68,53,,,,,,,67,60,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,67,76,66,,,,,76,,,,64,,,,,,,MODELED
BUF_TE_05,TE,46,45,47,44,82,63,44,48,65,41,,,,,,,51,63,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,46,55,42,,,,,46,,,,41,,,,,,,MODELED
BUF_TE_06,TE,51,47,56,50,65,90,57,52,70,74,,,,,,,50,55,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,68,47,47,,,,,52,,,,53,,,,,,,MODELED
BUF_OT_01,OT,61,62,64,97,79,73,74,66,78,66,78,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,56,,,,,,,,,,71,,,,77,,,,,,,81,,,,,MODELED
BUF_OT_02,OT,59,72,76,92,83,49,95,88,63,54,81,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,86,,,,,,,,,,79,,,,90,,,,,,,81,,,,,MODELED
BUF_OT_03,OT,58,59,74,92,77,76,73,78,73,62,81,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,83,,,,,,,,,,83,,,,86,,,,,,,77,,,,,MODELED
BUF_OT_04,OT,48,60,62,75,80,62,64,64,63,58,75,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,67,,,,,,,,,,66,,,,62,,,,,,,68,,,,,MODELED
BUF_OT_05,OT,51,38,57,76,83,99,66,70,69,53,70,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,61,,,,,,,,,,58,,,,57,,,,,,,75,,,,,MODELED
BUF_OT_06,OT,59,53,64,80,92,90,66,62,99,61,64,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,72,,,,,,,,,,60,,,,70,,,,,,,54,,,,,MODELED
BUF_OG_01,OG,54,57,58,89,83,54,74,63,71,65,64,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,65,,,,,,,,,,70,,,,61,,,,,,,69,,,,,MODELED
BUF_OG_02,OG,50,52,61,99,76,78,76,63,80,74,59,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,72,,,,,,,,,,67,,,,66,,,,,,,58,,,,,MODELED
BUF_OG_03,OG,46,52,56,84,72,85,74,70,65,77,59,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,66,,,,,,,,,,71,,,,63,,,,,,,72,,,,,MODELED
BUF_OG_04,OG,40,44,54,78,75,74,55,67,88,67,51,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,60,,,,,,,,,,65,,,,54,,,,,,,62,,,,,MODELED
BUF_OG_05,OG,38,49,49,79,70,54,56,58,80,47,59,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,67,,,,,,,,,,62,,,,61,,,,,,,59,,,,,MODELED
BUF_OG_06,OG,32,28,50,72,78,79,51,51,85,61,57,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,34,,,,,,,,,,57,,,,62,,,,,,,50,,,,,MODELED
BUF_C_01,C,69,62,57,80,88,63,66,71,68,74,75,,,,,,,,,,,,,,,,,,,,,93,,,74,,,,,,83,,,,,,,,,,85,,,,,,,73,,,,81,,,,,MODELED
BUF_C_02,C,52,57,63,80,85,84,70,72,78,64,64,,,,,,,,,,,,,,,,,,,,,78,,,79,,,,,,77,,,,,,,,,,72,,,,,,,76,,,,78,,,,,MODELED
BUF_C_03,C,47,48,55,92,61,80,72,68,59,60,72,,,,,,,,,,,,,,,,,,,,,69,,,52,,,,,,59,,,,,,,,,,62,,,,,,,67,,,,65,,,,,MODELED
BUF_EDGE_01,EDGE,89,98,90,91,86,78,87,91,64,82,,,,89,,,,,,,71,,,,,98,,,,,,,,,,,85,,,,,88,,,,,82,,,,,86,,,,,,,,,,,,,,,MODELED
BUF_EDGE_02,EDGE,83,79,78,90,84,58,69,70,64,74,,,,82,,,,,,,80,,,,,72,,,,,,,,,,,69,,,,,83,,,,,70,,,,,79,,,,,,,,,,,,,,,MODELED
BUF_EDGE_03,EDGE,63,70,62,74,76,99,63,52,40,69,,,,58,,,,,,,67,,,,,64,,,,,,,,,,,68,,,,,57,,,,,68,,,,,65,,,,,,,,,,,,,,,MODELED
BUF_EDGE_04,EDGE,59,64,75,84,84,90,71,77,71,61,,,,67,,,,,,,75,,,,,82,,,,,,,,,,,80,,,,,67,,,,,72,,,,,66,,,,,,,,,,,,,,,MODELED
BUF_EDGE_05,EDGE,76,81,82,84,64,64,63,67,63,49,,,,80,,,,,,,71,,,,,67,,,,,,,,,,,74,,,,,65,,,,,79,,,,,65,,,,,,,,,,,,,,,MODELED
BUF_EDGE_06,EDGE,56,67,72,60,81,64,63,52,97,63,,,,65,,,,,,,53,,,,,54,,,,,,,,,,,72,,,,,54,,,,,58,,,,,47,,,,,,,,,,,,,,,MODELED
BUF_EDGE_07,EDGE,63,71,71,68,72,63,56,54,73,51,,,,61,,,,,,,62,,,,,62,,,,,,,,,,,72,,,,,69,,,,,63,,,,,58,,,,,,,,,,,,,,,MODELED
BUF_EDGE_08,EDGE,66,65,56,56,73,83,51,49,82,68,,,,60,,,,,,,61,,,,,57,,,,,,,,,,,64,,,,,55,,,,,65,,,,,58,,,,,,,,,,,,,,,MODELED
BUF_EDGE_09,EDGE,61,57,59,65,65,89,48,55,86,51,,,,46,,,,,,,51,,,,,66,,,,,,,,,,,50,,,,,56,,,,,45,,,,,44,,,,,,,,,,,,,,,MODELED
BUF_DT_01,DT,58,66,66,94,89,79,74,72,56,73,,,,68,,,,,,,,,,,,76,,,,,,,,,,,78,,,,,72,,,,,69,,,,,77,,,,,,,,,,,,,,,MODELED
BUF_DT_02,DT,64,71,57,88,77,56,67,72,69,67,,,,75,,,,,,,,,,,,67,,,,,,,,,,,72,,,,,69,,,,,65,,,,,82,,,,,,,,,,,,,,,MODELED
BUF_DT_03,DT,65,52,48,84,72,57,60,56,72,55,,,,64,,,,,,,,,,,,58,,,,,,,,,,,57,,,,,63,,,,,54,,,,,66,,,,,,,,,,,,,,,MODELED
BUF_DT_04,DT,63,79,69,94,81,64,77,83,57,79,,,,75,,,,,,,,,,,,79,,,,,,,,,,,86,,,,,80,,,,,80,,,,,73,,,,,,,,,,,,,,,MODELED
BUF_DT_05,DT,54,65,59,96,81,99,68,73,74,55,,,,66,,,,,,,,,,,,75,,,,,,,,,,,74,,,,,77,,,,,73,,,,,69,,,,,,,,,,,,,,,MODELED
BUF_DT_06,DT,50,57,52,83,73,61,55,53,72,59,,,,66,,,,,,,,,,,,55,,,,,,,,,,,64,,,,,62,,,,,57,,,,,58,,,,,,,,,,,,,,,MODELED
BUF_DT_07,DT,56,58,56,77,77,89,60,58,64,53,,,,72,,,,,,,,,,,,65,,,,,,,,,,,69,,,,,65,,,,,63,,,,,57,,,,,,,,,,,,,,,MODELED
BUF_DT_08,DT,45,55,49,73,77,85,61,57,50,57,,,,52,,,,,,,,,,,,62,,,,,,,,,,,52,,,,,62,,,,,66,,,,,53,,,,,,,,,,,,,,,MODELED
