contract_id,player_id,team_id,contract_type,start_year,end_year,years_total,years_remaining,total_value,average_annual_value,base_salary_2026,signing_bonus_total,bonus_proration_2026,roster_bonus_2026,guaranteed_money,cap_hit_2026,dead_cap_if_cut_2026,no_trade_clause,contract_status,data_class
CTR00001,BUF_QB_01,BUF,VETERAN,2022,2026,5,1,89807874,17961575,14970635,14954697,2990939,0,77705999,17961575,2990939,0,ACTIVE,MODELED
CTR00002,BUF_QB_02,BUF,VETERAN_MINIMUM,2026,2026,1,1,1330000,1330000,1330000,0,0,0,66500,1330000,0,0,ACTIVE,MODELED
CTR00003,BUF_QB_03,BUF,VETERAN_MINIMUM,2026,2029,4,4,6018394,1504599,1504599,0,0,0,300920,1504599,0,0,ACTIVE,MODELED
CTR00004,BUF_QB_04,BUF,VETERAN_MINIMUM,2025,2028,4,3,5320000,1330000,1330000,0,0,0,266000,1330000,0,0,ACTIVE,MODELED
CTR00005,BUF_RB_01,BUF,VETERAN_MINIMUM,2026,2026,1,1,1420000,1420000,1420000,0,0,0,71000,1420000,0,0,ACTIVE,MODELED
CTR00006,BUF_RB_02,BUF,VETERAN_MINIMUM,2025,2026,2,1,2660000,1330000,1330000,0,0,0,133000,1330000,0,0,ACTIVE,MODELED
CTR00007,BUF_RB_03,BUF,ROOKIE_SCALE,2025,2028,4,3,4240000,1060000,812431,990277,247569,0,1060000,1060000,742708,0,ACTIVE,MODELED
CTR00008,BUF_RB_04,BUF,VETERAN_MINIMUM,2026,2027,2,2,2060000,1030000,1030000,0,0,0,103000,1030000,0,0,ACTIVE,MODELED
CTR00009,BUF_RB_05,BUF,UDFA,2026,2028,3,3,2520000,840000,756000,573960,191320,0,50400,947320,573960,0,ACTIVE,MODELED
CTR00010,BUF_FB_01,BUF,VETERAN_MINIMUM,2023,2026,4,1,5320000,1330000,1330000,0,0,0,266000,1330000,0,0,ACTIVE,MODELED
CTR00011,BUF_WR_01,BUF,VETERAN,2026,2026,1,1,4592077,4592077,4148814,443263,443263,0,1983741,4592077,443263,0,ACTIVE,MODELED
CTR00012,BUF_WR_02,BUF,VETERAN,2026,2026,1,1,4559191,4559191,3031236,1527954,1527954,0,1526156,4559191,1527954,0,ACTIVE,MODELED
CTR00013,BUF_WR_03,BUF,VETERAN,2026,2026,1,1,5686298,5686298,4156139,1530158,1530158,170589,3299386,5856886,1530158,0,ACTIVE,MODELED
CTR00014,BUF_WR_04,BUF,VETERAN,2026,2026,1,1,1931641,1931641,1755107,176534,176534,0,676522,1931641,176534,0,ACTIVE,MODELED
CTR00015,BUF_WR_05,BUF,VETERAN_MINIMUM,2026,2027,2,2,2420000,1210000,1210000,0,0,0,121000,1210000,0,0,ACTIVE,MODELED
CTR00016,BUF_WR_06,BUF,VETERAN_MINIMUM,2025,2027,3,2,3878490,1292830,1292830,0,0,0,193925,1292830,0,0,ACTIVE,MODELED
CTR00017,BUF_WR_07,BUF,ROOKIE_SCALE,2023,2026,4,1,3860000,965000,799865,660541,165135,0,965000,965000,165135,0,ACTIVE,MODELED
