player_id,team_id,designation,injury_type,weeks_out_estimate,season_ending,data_class
BUF_RB_05,BUF,PUP,Groin,14,1,MODELED
BUF_WR_01,BUF,DAY_TO_DAY,Ankle,3,0,MODELED
BUF_WR_04,BUF,DAY_TO_DAY,Pectoral,2,0,MODELED
BUF_OT_04,BUF,DAY_TO_DAY,Knee (MCL),1,0,MODELED
BUF_OT_06,BUF,PUP,Groin,6,0,MODELED
BUF_OG_04,BUF,IR,Hamstring,3,0,MODELED
BUF_C_03,BUF,PUP,Groin,13,0,MODELED
BUF_EDGE_04,BUF,IR,Back,16,1,MODELED
BUF_DT_03,BUF,DAY_TO_DAY,Foot,2,0,MODELED
BUF_LB_07,BUF,DAY_TO_DAY,Groin,2,0,MODELED
BUF_LB_08,BUF,DAY_TO_DAY,Hamstring,1,0,MODELED
BUF_CB_04,BUF,DAY_TO_DAY,Back,1,0,MODELED
BUF_S_04,BUF,PUP,Knee (MCL),16,1,MODELED
MIA_RB_05,MIA,IR,Groin,11,0,MODELED
MIA_DT_07,MIA,IR,Knee (MCL),4,0,MODELED
MIA_LB_07,MIA,DAY_TO_DAY,Foot,3,0,MODELED
MIA_CB_07,MIA,DAY_TO_DAY,Shoulder,2,0,MODELED
MIA_S_01,MIA,IR,Groin,8,0,MODELED
MIA_LS_01,MIA,IR,Pectoral,16,1,MODELED
NE_QB_02,NE,DAY_TO_DAY,Hand,3,0,MODELED
NE_FB_01,NE,NFI,Hand,7,0,MODELED
NE_OG_05,NE,DAY_TO_DAY,Pectoral,3,0,MODELED
NE_EDGE_09,NE,PUP,Hamstring,11,0,MODELED
NE_CB_03,NE,DAY_TO_DAY,Back,1,0,MODELED
NE_S_02,NE,PUP,Ankle,4,0,MODELED
NYJ_QB_04,NYJ,NFI,Knee (MCL),2,0,MODELED
NYJ_RB_05,NYJ,IR,Hand,4,0,MODELED
NYJ_OT_01,NYJ,IR,Shoulder,16,1,MODELED
NYJ_OG_03,NYJ,IR,Hamstring,6,0,MODELED
NYJ_C_02,NYJ,DAY_TO_DAY,Concussion,2,0,MODELED
NYJ_DT_03,NYJ,DAY_TO_DAY,Achilles,2,0,MODELED
NYJ_LB_06,NYJ,NFI,Foot,12,0,MODELED
NYJ_S_06,NYJ,NFI,Shoulder,13,0,MODELED
NYJ_LS_01,NYJ,PUP,Groin,6,0,MODELED
BAL_QB_03,BAL,DAY_TO_DAY,Pectoral,2,0,MODELED
BAL_WR_06,BAL,PUP,Hand,14,1,MODELED
BAL_OG_02,BAL,NFI,Hand,15,1,MODELED
BAL_EDGE_03,BAL,DAY_TO_DAY,Achilles,1,0,MODELED
BAL_DT_08,BAL,IR,Hamstring,10,0,MODELED
