player_id,team_id,morale,playing_time_satisfaction,contract_satisfaction,coach_trust,locker_room_influence,trade_request,holdout_risk,data_class
BUF_QB_01,BUF,82,85,55,55,100,0,0,MODELED
BUF_QB_02,BUF,63,63,89,70,41,0,0,MODELED
BUF_QB_03,BUF,24,51,46,86,44,0,0,MODELED
BUF_QB_04,BUF,53,57,65,59,44,0,20,MODELED
BUF_RB_01,BUF,74,87,58,92,40,0,0,MODELED
BUF_RB_02,BUF,60,55,65,78,28,0,0,MODELED
BUF_RB_03,BUF,63,62,75,56,10,0,13,MODELED
BUF_RB_04,BUF,47,47,53,59,34,0,0,MODELED
BUF_RB_05,BUF,50,39,73,64,1,0,0,MODELED
BUF_FB_01,BUF,81,78,39,20,26,0,16,MODELED
BUF_WR_01,BUF,73,77,67,55,77,0,12,MODELED
BUF_WR_02,BUF,77,100,29,68,37,0,0,MODELED
BUF_WR_03,BUF,79,79,62,66,45,0,15,MODELED
BUF_WR_04,BUF,63,79,74,83,38,0,13,MODELED
BUF_WR_05,BUF,77,76,68,56,37,0,15,MODELED
BUF_WR_06,BUF,58,76,73,62,50,0,0,MODELED
BUF_WR_07,BUF,61,39,90,69,3,0,0,MODELED
BUF_WR_08,BUF,42,64,67,55,3,0,7,MODELED
BUF_WR_09,BUF,42,47,64,83,39,0,6,MODELED
BUF_WR_10,BUF,45,39,54,79,49,0,8,MODELED
BUF_WR_11,BUF,40,58,70,65,21,0,0,MODELED
BUF_TE_01,BUF,84,100,60,66,76,0,14,MODELED
BUF_TE_02,BUF,63,57,67,80,52,0,0,MODELED
BUF_TE_03,BUF,58,75,53,53,68,0,10,MODELED
BUF_TE_04,BUF,64,50,80,75,45,0,7,MODELED
BUF_TE_05,BUF,72,17,79,66,1,0,5,MODELED
BUF_TE_06,BUF,65,51,61,36,28,0,25,MODELED
BUF_OT_01,BUF,86,80,66,81,52,0,0,MODELED
BUF_OT_02,BUF,100,78,80,37,52,0,15,MODELED
BUF_OT_03,BUF,76,71,53,61,33,0,16,MODELED
BUF_OT_04,BUF,78,80,40,73,50,0,23,MODELED
BUF_OT_05,BUF,42,63,65,60,26,0,8,MODELED
BUF_OT_06,BUF,60,58,72,72,29,0,12,MODELED
BUF_OG_01,BUF,90,81,75,64,42,0,0,MODELED
BUF_OG_02,BUF,83,86,58,84,26,0,15,MODELED
BUF_OG_03,BUF,68,44,74,59,39,0,10,MODELED
BUF_OG_04,BUF,64,52,56,68,33,0,16,MODELED
BUF_OG_05,BUF,59,56,72,84,27,0,17,MODELED
BUF_OG_06,BUF,27,41,73,78,8,0,0,MODELED
BUF_C_01,BUF,72,80,63,61,63,0,13,MODELED
BUF_C_02,BUF,63,75,68,53,26,0,0,MODELED
BUF_C_03,BUF,23,80,65,74,46,0,11,MODELED
BUF_EDGE_01,BUF,84,87,60,64,49,0,9,MODELED
BUF_EDGE_02,BUF,71,57,68,59,67,0,22,MODELED
BUF_EDGE_03,BUF,65,84,69,81,38,0,12,MODELED
BUF_EDGE_04,BUF,68,58,60,59,64,0,0,MODELED
BUF_EDGE_05,BUF,60,78,66,74,37,0,0,MODELED
BUF_EDGE_06,BUF,61,66,85,53,27,0,14,MODELED
BUF_EDGE_07,BUF,42,63,71,42,29,0,21,MODELED
BUF_EDGE_08,BUF,52,44,62,73,8,0,13,MODELED
BUF_EDGE_09,BUF,52,50,74,70,45,0,6,MODELED
BUF_DT_01,BUF,87,82,50,83,53,0,15,MODELED
BUF_DT_02,BUF,74,62,65,73,36,0,15,MODELED
BUF_DT_03,BUF,69,51,54,67,33,0,12,MODELED
BUF_DT_04,BUF,46,55,77,50,69,0,3,MODELED
BUF_DT_05,BUF,58,58,75,56,46,0,12,MODELED
BUF_DT_06,BUF,59,70,50,65,23,0,27,MODELED
BUF_DT_07,BUF,59,24,69,49,14,0,0,MODELED
BUF_DT_08,BUF,53,38,75,70,53,0,8,MODELED
BUF_LB_01,BUF,85,93,50,67,55,0,0,MODELED
BUF_LB_02,BUF,100,65,64,90,41,0,8,MODELED
BUF_LB_03,BUF,61,72,40,84,32,0,21,MODELED
BUF_LB_04,BUF,74,60,90,65,53,0,0,MODELED
BUF_LB_05,BUF,62,69,53,66,58,0,1,MODELED
BUF_LB_06,BUF,59,53,57,53,1,0,0,MODELED
BUF_LB_07,BUF,30,37,53,70,27,0,2,MODELED
BUF_LB_08,BUF,41,44,65,81,30,0,24,MODELED
BUF_CB_01,BUF,82,83,88,71,52,0,0,MODELED
BUF_CB_02,BUF,86,78,39,70,33,0,16,MODELED
BUF_CB_03,BUF,87,69,42,71,76,0,8,MODELED
BUF_CB_04,BUF,70,73,48,56,21,0,0,MODELED
BUF_CB_05,BUF,84,68,47,72,33,0,6,MODELED
BUF_CB_06,BUF,46,63,72,48,45,0,5,MODELED
BUF_CB_07,BUF,45,41,64,56,64,0,19,MODELED
BUF_CB_08,BUF,55,58,98,64,36,0,9,MODELED
BUF_CB_09,BUF,58,61,70,100,19,0,15,MODELED
BUF_CB_10,BUF,31,32,71,48,11,0,1,MODELED
BUF_CB_11,BUF,40,50,76,71,20,0,13,MODELED
BUF_S_01,BUF,82,82,83,49,59,0,15,MODELED
BUF_S_02,BUF,73,85,58,57,53,0,13,MODELED
BUF_S_03,BUF,40,60,79,57,30,0,13,MODELED
BUF_S_04,BUF,65,58,70,38,34,0,14,MODELED
BUF_S_05,BUF,50,44,58,74,51,0,7,MODELED
BUF_S_06,BUF,41,38,61,67,47,0,7,MODELED
BUF_S_07,BUF,61,43,76,65,15,0,3,MODELED
BUF_K_01,BUF,89,100,63,42,67,0,11,MODELED
BUF_K_02,BUF,39,85,82,71,4,0,20,MODELED
BUF_P_01,BUF,81,83,65,74,83,0,0,MODELED
BUF_P_02,BUF,69,53,77,73,48,0,15,MODELED
BUF_LS_01,BUF,89,65,77,67,66,0,5,MODELED
MIA_QB_01,MIA,84,69,68,100,100,0,5,MODELED
MIA_QB_02,MIA,40,53,80,52,14,0,0,MODELED
MIA_QB_03,MIA,37,58,55,26,48,0,0,MODELED
MIA_QB_04,MIA,46,51,63,65,30,0,0,MODELED
MIA_RB_01,MIA,100,84,62,66,35,0,1,MODELED
MIA_RB_02,MIA,60,73,61,77,39,0,14,MODELED
MIA_RB_03,MIA,66,74,80,84,29,0,5,MODELED
MIA_RB_04,MIA,55,34,69,60,28,0,0,MODELED
MIA_RB_05,MIA,51,59,86,71,51,0,23,MODELED
MIA_FB_01,MIA,63,97,34,82,28,0,0,MODELED
MIA_WR_01,MIA,72,75,67,77,73,0,19,MODELED
MIA_WR_02,MIA,88,74,84,47,60,0,5,MODELED
MIA_WR_03,MIA,95,87,58,64,58,0,2,MODELED
MIA_WR_04,MIA,61,74,91,53,64,0,0,MODELED
MIA_WR_05,MIA,50,64,71,55,52,0,3,MODELED
MIA_WR_06,MIA,56,63,71,60,84,0,28,MODELED
MIA_WR_07,MIA,41,57,82,60,51,0,22,MODELED
MIA_WR_08,MIA,44,56,100,74,18,0,10,MODELED
MIA_WR_09,MIA,55,43,90,89,29,0,0,MODELED
MIA_WR_10,MIA,46,26,49,40,1,0,21,MODELED
MIA_WR_11,MIA,54,50,78,61,22,0,16,MODELED
MIA_TE_01,MIA,89,77,85,88,42,0,7,MODELED
MIA_TE_02,MIA,62,71,31,55,56,0,0,MODELED
MIA_TE_03,MIA,60,73,76,80,46,0,13,MODELED
MIA_TE_04,MIA,65,31,72,60,1,0,12,MODELED
MIA_TE_05,MIA,36,29,60,40,1,0,0,MODELED
MIA_TE_06,MIA,33,24,59,31,31,0,7,MODELED
MIA_OT_01,MIA,91,65,64,60,22,0,0,MODELED
MIA_OT_02,MIA,83,89,91,69,73,0,0,MODELED
MIA_OT_03,MIA,73,68,93,66,50,0,10,MODELED
MIA_OT_04,MIA,53,54,34,49,65,0,18,MODELED
MIA_OT_05,MIA,51,54,82,85,35,0,0,MODELED
MIA_OT_06,MIA,67,28,44,57,32,0,7,MODELED
