player_id,trait,data_class
BUF_QB_03,Field General,MODELED
BUF_QB_04,Coach's Son,MODELED
BUF_QB_04,Injury Prone,MODELED
BUF_RB_01,Volatile,MODELED
BUF_RB_01,High Motor,MODELED
BUF_RB_01,Positional Versatility,MODELED
BUF_RB_02,Slow Starter,MODELED
BUF_RB_03,Ironman,MODELED
BUF_RB_03,Special Teams Ace,MODELED
BUF_RB_03,Practice Squad Grinder,MODELED
BUF_RB_04,Practice Squad Grinder,MODELED
BUF_RB_04,Big Game Hunter,MODELED
BUF_RB_05,Positional Versatility,MODELED
BUF_RB_05,Coach's Son,MODELED
BUF_RB_05,Special Teams Ace,MODELED
BUF_FB_01,Field General,MODELED
BUF_WR_01,Slow Starter,MODELED
BUF_WR_01,Injury Prone,MODELED
BUF_WR_02,Injury Prone,MODELED
BUF_WR_04,Volatile,MODELED
BUF_WR_04,Special Teams Ace,MODELED
BUF_WR_04,Film Junkie,MODELED
BUF_WR_05,Weight Room Warrior,MODELED
BUF_WR_06,Clutch Performer,MODELED
BUF_WR_06,Injury Prone,MODELED
BUF_WR_07,Volatile,MODELED
BUF_WR_08,Scheme Dependent,MODELED
BUF_WR_08,Weight Room Warrior,MODELED
BUF_WR_09,Positional Versatility,MODELED
BUF_WR_09,Special Teams Ace,MODELED
BUF_WR_09,Slow Starter,MODELED
BUF_WR_10,Field General,MODELED
BUF_TE_01,Ironman,MODELED
BUF_TE_01,Weight Room Warrior,MODELED
BUF_TE_01,Scheme Dependent,MODELED
BUF_TE_02,Weight Room Warrior,MODELED
BUF_TE_02,Big Game Hunter,MODELED
BUF_TE_03,High Motor,MODELED
BUF_TE_03,Coach's Son,MODELED
BUF_TE_04,Big Game Hunter,MODELED
BUF_TE_06,Scheme Dependent,MODELED
BUF_TE_06,Volatile,MODELED
BUF_OT_02,Film Junkie,MODELED
BUF_OT_02,Coach's Son,MODELED
BUF_OT_03,Locker Room Leader,MODELED
BUF_OT_04,Coach's Son,MODELED
BUF_OT_04,Positional Versatility,MODELED
BUF_OT_05,Practice Squad Grinder,MODELED
BUF_OT_06,Field General,MODELED
BUF_OT_06,Injury Prone,MODELED
BUF_OG_01,High Motor,MODELED
BUF_OG_02,Field General,MODELED
BUF_OG_02,Positional Versatility,MODELED
BUF_OG_02,Big Game Hunter,MODELED
BUF_OG_03,Coach's Son,MODELED
BUF_OG_03,Field General,MODELED
BUF_OG_03,Practice Squad Grinder,MODELED
BUF_OG_04,Injury Prone,MODELED
BUF_OG_05,Late Bloomer,MODELED
BUF_OG_05,High Motor,MODELED
BUF_OG_05,Field General,MODELED
BUF_OG_06,Positional Versatility,MODELED
BUF_OG_06,Field General,MODELED
BUF_OG_06,Special Teams Ace,MODELED
BUF_C_01,Scheme Dependent,MODELED
BUF_C_02,Field General,MODELED
BUF_C_02,Special Teams Ace,MODELED
BUF_C_02,Clutch Performer,MODELED
BUF_C_03,Practice Squad Grinder,MODELED
BUF_C_03,Weight Room Warrior,MODELED
BUF_EDGE_01,Slow Starter,MODELED
BUF_EDGE_02,Field General,MODELED
BUF_EDGE_03,Scheme Dependent,MODELED
BUF_EDGE_03,Late Bloomer,MODELED
BUF_EDGE_03,Special Teams Ace,MODELED
BUF_EDGE_04,High Motor,MODELED
BUF_EDGE_04,Field General,MODELED
BUF_EDGE_05,Ironman,MODELED
BUF_EDGE_05,Scheme Dependent,MODELED
BUF_EDGE_06,Volatile,MODELED
BUF_EDGE_06,Late Bloomer,MODELED
BUF_EDGE_07,Practice Squad Grinder,MODELED
BUF_EDGE_07,Scheme Dependent,MODELED
BUF_EDGE_07,Injury Prone,MODELED
BUF_EDGE_08,Injury Prone,MODELED
BUF_EDGE_08,Special Teams Ace,MODELED
BUF_EDGE_09,Field General,MODELED
BUF_EDGE_09,Weight Room Warrior,MODELED
BUF_DT_01,Field General,MODELED
BUF_DT_02,Clutch Performer,MODELED
BUF_DT_03,Slow Starter,MODELED
BUF_DT_03,Coach's Son,MODELED
BUF_DT_04,Positional Versatility,MODELED
BUF_DT_04,Weight Room Warrior,MODELED
BUF_DT_05,Ironman,MODELED
BUF_DT_06,Film Junkie,MODELED
BUF_DT_08,Practice Squad Grinder,MODELED
BUF_LB_01,Clutch Performer,MODELED
BUF_LB_01,Big Game Hunter,MODELED
BUF_LB_01,Practice Squad Grinder,MODELED
BUF_LB_02,Slow Starter,MODELED
BUF_LB_02,Late Bloomer,MODELED
BUF_LB_03,Late Bloomer,MODELED
BUF_LB_03,Practice Squad Grinder,MODELED
BUF_LB_05,Locker Room Leader,MODELED
BUF_LB_07,Special Teams Ace,MODELED
BUF_LB_07,Injury Prone,MODELED
BUF_LB_07,Big Game Hunter,MODELED
BUF_LB_08,Big Game Hunter,MODELED
BUF_LB_08,Coach's Son,MODELED
BUF_CB_01,Special Teams Ace,MODELED
BUF_CB_01,Practice Squad Grinder,MODELED
BUF_CB_03,Field General,MODELED
BUF_CB_04,Locker Room Leader,MODELED
BUF_CB_04,Special Teams Ace,MODELED
BUF_CB_04,Slow Starter,MODELED
BUF_CB_05,Weight Room Warrior,MODELED
BUF_CB_05,Late Bloomer,MODELED
BUF_CB_06,Clutch Performer,MODELED
BUF_CB_06,Weight Room Warrior,MODELED
BUF_CB_07,Coach's Son,MODELED
BUF_CB_07,Locker Room Leader,MODELED
BUF_CB_08,Late Bloomer,MODELED
BUF_CB_09,Positional Versatility,MODELED
BUF_CB_10,Locker Room Leader,MODELED
BUF_CB_10,Positional Versatility,MODELED
BUF_CB_11,Ironman,MODELED
BUF_CB_11,Positional Versatility,MODELED
BUF_S_03,Positional Versatility,MODELED
BUF_S_05,Field General,MODELED
BUF_S_05,Big Game Hunter,MODELED
BUF_S_06,Late Bloomer,MODELED
BUF_S_06,Positional Versatility,MODELED
BUF_S_06,Weight Room Warrior,MODELED
BUF_S_07,Scheme Dependent,MODELED
BUF_S_07,Ironman,MODELED
BUF_K_02,Film Junkie,MODELED
BUF_K_02,Volatile,MODELED
BUF_K_02,Practice Squad Grinder,MODELED
BUF_P_02,Late Bloomer,MODELED
BUF_P_02,Big Game Hunter,MODELED
BUF_LS_01,Locker Room Leader,MODELED
BUF_LS_01,Injury Prone,MODELED
BUF_LS_01,Big Game Hunter,MODELED
MIA_QB_01,Practice Squad Grinder,MODELED
MIA_QB_01,Special Teams Ace,MODELED
MIA_QB_01,Injury Prone,MODELED
MIA_QB_02,Scheme Dependent,MODELED
MIA_QB_03,Clutch Performer,MODELED
MIA_QB_04,Locker Room Leader,MODELED
MIA_QB_04,Film Junkie,MODELED
MIA_RB_02,Injury Prone,MODELED
MIA_RB_03,Clutch Performer,MODELED
MIA_RB_03,Field General,MODELED
MIA_RB_04,Late Bloomer,MODELED
MIA_RB_04,Weight Room Warrior,MODELED
MIA_RB_05,Field General,MODELED
MIA_RB_05,Locker Room Leader,MODELED
MIA_FB_01,Film Junkie,MODELED
MIA_WR_01,Scheme Dependent,MODELED
MIA_WR_02,Field General,MODELED
MIA_WR_03,Coach's Son,MODELED
MIA_WR_03,Practice Squad Grinder,MODELED
