player_id,display_name,team_id,position,position_group,jersey_number,height_inches,weight_lbs,age,experience_years,college_id,college_name,draft_year,draft_round,draft_pick_in_round,draft_overall_pick,draft_status,rookie_flag,roster_status,designation,depth_rank,role_tier,overall_rating,potential_rating,data_class
BUF_QB_01,Emeka Isbell,BUF,QB,Quarterback,59,73,242,38,15,COL0245,Talbot State Tech,2011,3,31,95,DRAFTED,0,ACTIVE,NONE,1,STARTER,82,88,GENERATED
BUF_QB_02,Morgan Lombardo,BUF,QB,Quarterback,93,75,230,28,6,COL0036,Kelvinridge State,2020,7,31,223,DRAFTED,0,ACTIVE,NONE,2,ROTATIONAL,66,74,GENERATED
BUF_QB_03,Mikael Calloway,BUF,QB,Quarterback,99,74,226,24,2,COL0136,Larkspur Tech,2024,5,12,140,DRAFTED,0,PRACTICE_SQUAD_CANDIDATE,NONE,3,DEPTH,68,75,GENERATED
BUF_QB_04,Odell Jimerson,BUF,QB,Quarterback,12,73,230,28,6,COL0183,Sunderland State,2020,,,,UNDRAFTED,0,CAMP_BODY,NONE,4,CAMP,60,60,GENERATED
BUF_RB_01,Gunnar Bradshaw,BUF,RB,Backfield,63,70,205,29,7,COL0183,Sunderland State,2019,,,,UNDRAFTED,0,ACTIVE,NONE,1,STARTER,65,65,GENERATED
BUF_RB_02,Lawson Rainsberger,BUF,RB,Backfield,85,71,208,28,6,COL0056,Redbluff State Tech,2020,,,,UNDRAFTED,0,ACTIVE,NONE,2,ROTATIONAL,62,64,GENERATED
BUF_RB_03,Marquise Wilkerson,BUF,RB,Backfield,60,70,227,22,0,COL0157,Granite Bay Tech,2026,5,7,135,DRAFTED,1,ACTIVE,NONE,3,ROTATIONAL,58,71,GENERATED
BUF_RB_04,Hayes Wainwright,BUF,RB,Backfield,62,68,218,23,1,COL0076,Cypress Hollow Institute,2025,4,6,102,DRAFTED,0,PRACTICE_SQUAD_CANDIDATE,NONE,4,DEPTH,67,67,GENERATED
BUF_RB_05,Kelvin Rentschler,BUF,RB,Backfield,10,69,206,22,0,COL0175,Harrowgate State Tech,2026,,,,UNDRAFTED,1,CAMP_BODY,PUP,5,CAMP,56,64,GENERATED
BUF_FB_01,Cormac Thistlewood,BUF,FB,Backfield,80,70,228,27,5,COL0026,Marbury College,2021,,,,UNDRAFTED,0,ACTIVE,NONE,1,STARTER,72,77,GENERATED
BUF_WR_01,Keegan Swearinger,BUF,WR,Receiver,90,70,208,33,10,COL0148,Cedar Falls State,2016,3,17,81,DRAFTED,0,ACTIVE,DAY_TO_DAY,1,STARTER,75,76,GENERATED
BUF_WR_02,Zaire Piscopo,BUF,WR,Receiver,77,70,194,23,1,COL0131,Emberton College,2025,2,8,40,DRAFTED,0,ACTIVE,NONE,2,STARTER,76,81,GENERATED
BUF_WR_03,Gannon Kenney,BUF,WR,Receiver,6,75,192,26,2,COL0156,Granite Bay University,2024,1,19,19,DRAFTED,0,ACTIVE,NONE,3,STARTER,78,78,GENERATED
BUF_WR_04,Duncan Judkins,BUF,WR,Receiver,19,74,191,28,4,COL0098,Bellhaven State Tech,2022,5,18,146,DRAFTED,0,ACTIVE,DAY_TO_DAY,4,ROTATIONAL,71,72,GENERATED
BUF_WR_05,Omari Appleton,BUF,WR,Receiver,44,70,181,25,3,COL0039,Kelvinridge A&M,2023,5,22,150,DRAFTED,0,ACTIVE,NONE,5,ROTATIONAL,64,70,GENERATED
BUF_WR_06,Reeves Tullis,BUF,WR,Receiver,76,70,208,25,2,COL0202,Copper Creek Institute,2024,3,29,93,DRAFTED,0,ACTIVE,NONE,6,ROTATIONAL,69,73,GENERATED
BUF_WR_07,Lowell Dalrymple,BUF,WR,Receiver,52,69,196,22,0,COL0254,Bramblewood University,2026,7,4,196,DRAFTED,1,PRACTICE_SQUAD_CANDIDATE,NONE,7,DEPTH,54,63,GENERATED
BUF_WR_08,Ashton Kalapana,BUF,WR,Receiver,96,70,180,23,0,COL0174,Harrowgate Institute,2026,,,,UNDRAFTED,1,PRACTICE_SQUAD_CANDIDATE,NONE,8,DEPTH,57,63,GENERATED
BUF_WR_09,Ulysses Threadgill,BUF,WR,Receiver,31,70,224,23,0,COL0180,Mount Verity College,2026,7,25,217,DRAFTED,1,CAMP_BODY,NONE,9,CAMP,62,67,GENERATED
BUF_WR_10,Rhett Hemsley,BUF,WR,Receiver,26,71,196,25,1,COL0097,Bellhaven Institute,2025,,,,UNDRAFTED,0,CAMP_BODY,NONE,10,CAMP,58,61,GENERATED
BUF_WR_11,Fritz Hightower,BUF,WR,Receiver,16,71,201,22,0,COL0230,Dunmore Institute,2026,,,,UNDRAFTED,1,CAMP_BODY,NONE,11,CAMP,56,59,GENERATED
BUF_TE_01,Odin Yoshida,BUF,TE,Receiver,67,74,248,29,7,COL0025,Marbury A&M,2019,3,26,90,DRAFTED,0,ACTIVE,NONE,1,STARTER,69,71,GENERATED
BUF_TE_02,Logan Oosterhout,BUF,TE,Receiver,98,76,255,26,3,COL0100,Thornfield University,2023,5,20,148,DRAFTED,0,ACTIVE,NONE,2,ROTATIONAL,67,68,GENERATED
BUF_TE_03,Onyx Dargan,BUF,TE,Receiver,56,79,244,31,7,COL0246,Winslow State,2019,1,23,23,DRAFTED,0,ACTIVE,NONE,3,ROTATIONAL,77,79,GENERATED
BUF_TE_04,Horace Sinnott,BUF,TE,Receiver,79,75,226,24,2,COL0170,Harrowgate University,2024,5,9,137,DRAFTED,0,PRACTICE_SQUAD_CANDIDATE,NONE,4,DEPTH,67,70,GENERATED
BUF_TE_05,Mason Pinnock,BUF,TE,Receiver,33,78,245,24,2,COL0016,Ashfield University,2024,7,13,205,DRAFTED,0,CAMP_BODY,NONE,5,CAMP,47,57,GENERATED
BUF_TE_06,Herschel Helaire,BUF,TE,Receiver,2,75,242,24,1,COL0085,Westmoor State,2025,,,,UNDRAFTED,0,CAMP_BODY,NONE,6,CAMP,54,57,GENERATED
BUF_OT_01,Roman Zamora,BUF,OT,O-Line,8,78,312,22,1,COL0222,Foxcroft College,2025,3,25,89,DRAFTED,0,ACTIVE,NONE,1,STARTER,74,80,GENERATED
BUF_OT_02,Cooper Trufant,BUF,OT,O-Line,38,77,310,32,8,COL0259,Bramblewood State Tech,2018,2,19,51,DRAFTED,0,ACTIVE,NONE,2,STARTER,82,83,GENERATED
BUF_OT_03,Kellan Santoro,BUF,OT,O-Line,36,76,326,25,2,COL0015,Ashfield State,2024,1,26,26,DRAFTED,0,ACTIVE,NONE,3,ROTATIONAL,74,74,GENERATED
BUF_OT_04,Vicente Cosgrove,BUF,OT,O-Line,3,78,318,24,3,COL0004,Calderwood A&M,2023,,,,UNDRAFTED,0,ACTIVE,DAY_TO_DAY,4,ROTATIONAL,66,67,GENERATED
BUF_OT_05,Malcolm Holliday,BUF,OT,O-Line,83,78,306,25,2,COL0131,Emberton College,2024,,,,UNDRAFTED,0,PRACTICE_SQUAD_CANDIDATE,NONE,5,DEPTH,64,70,GENERATED
BUF_OT_06,Kruz Buckner,BUF,OT,O-Line,46,77,318,23,0,COL0092,Bellhaven State,2026,2,3,35,DRAFTED,1,CAMP_BODY,PUP,6,CAMP,69,75,GENERATED
BUF_OG_01,Ashton Jorgensen,BUF,OG,O-Line,58,73,317,27,4,COL0186,Sunderland A&M,2022,1,4,4,DRAFTED,0,ACTIVE,NONE,1,STARTER,72,73,GENERATED
BUF_OG_02,Colston Brinkley,BUF,OG,O-Line,87,78,310,22,0,COL0169,Harrowgate State,2026,1,6,6,DRAFTED,1,ACTIVE,NONE,2,STARTER,69,74,GENERATED
BUF_OG_03,Finley Drayton,BUF,OG,O-Line,74,75,316,25,2,COL0151,Cedar Falls A&M,2024,,,,UNDRAFTED,0,ACTIVE,NONE,3,ROTATIONAL,66,66,GENERATED
BUF_OG_04,Keegan Brody,BUF,OG,O-Line,86,74,312,27,3,COL0026,Marbury College,2023,,,,UNDRAFTED,0,ACTIVE,IR,4,ROTATIONAL,60,61,GENERATED
BUF_OG_05,Elias Lasseter,BUF,OG,O-Line,11,78,314,24,0,COL0218,Foxcroft State,2026,,,,UNDRAFTED,1,PRACTICE_SQUAD_CANDIDATE,NONE,5,DEPTH,62,62,GENERATED
BUF_OG_06,Mack Eubanks,BUF,OG,O-Line,57,72,320,21,0,COL0080,Iron Gate Tech,2026,6,23,183,DRAFTED,1,CAMP_BODY,NONE,6,CAMP,51,62,GENERATED
BUF_C_01,Draven Mixson,BUF,C,O-Line,55,73,288,24,3,COL0181,Mount Verity Institute,2023,3,32,96,DRAFTED,0,ACTIVE,NONE,1,STARTER,75,79,GENERATED
BUF_C_02,Wallace Roscoe,BUF,C,O-Line,88,74,300,23,0,COL0080,Iron Gate Tech,2026,,,,UNDRAFTED,1,ACTIVE,NONE,2,ROTATIONAL,71,79,GENERATED
