team_id,season,cap_limit,committed,dead_money,available,contracts_counted,rollover_from_2025,data_class
BUF,2026,302000000,260418491,607260,40974249,51,3861567,MODELED
MIA,2026,302000000,258833859,555284,42610857,51,7077143,MODELED
NE,2026,302000000,297432363,587544,3980093,51,-2614454,MODELED
NYJ,2026,302000000,264903783,563866,36532350,51,15326748,MODELED
BAL,2026,302000000,287581307,460972,13957720,51,2206020,MODELED
PIT,2026,302000000,274161552,390703,27447745,51,5662333,MODELED
CLE,2026,302000000,261237449,695908,40066643,51,8935601,MODELED
CIN,2026,302000000,293150138,819664,8030198,51,5536233,MODELED
HOU,2026,302000000,261864405,623105,39512490,51,5536961,MODELED
IND,2026,302000000,254198525,503779,47297696,51,231786,MODELED
JAX,2026,302000000,255288572,394835,46316593,51,13229696,MODELED
TEN,2026,302000000,259986734,364311,41648955,51,-4647229,MODELED
DEN,2026,302000000,261130852,309204,40559944,51,4760355,MODELED
KC,2026,302000000,274301538,414249,27284213,51,4256091,MODELED
LV,2026,302000000,278402677,229883,23367440,51,9643312,MODELED
LAC,2026,302000000,292067926,688113,9243961,51,3123983,MODELED
DAL,2026,302000000,286512773,510898,14976329,51,5136879,MODELED
PHI,2026,302000000,258141503,611661,43246836,51,-1886159,MODELED
WAS,2026,302000000,293608203,478140,7913657,51,4341789,MODELED
NYG,2026,302000000,274372770,632118,26995112,51,8718731,MODELED
CHI,2026,302000000,257281010,334665,44384325,51,3037045,MODELED
DET,2026,302000000,260394020,444748,41161232,51,5320609,MODELED
GB,2026,302000000,263729667,475260,37795073,51,7022562,MODELED
MIN,2026,302000000,288793248,466817,12739935,51,10382304,MODELED
ATL,2026,302000000,292572589,548866,8878545,51,9785823,MODELED
CAR,2026,302000000,270368329,446911,31184760,51,7449893,MODELED
NO,2026,302000000,291291884,496411,10211705,51,12879331,MODELED
TB,2026,302000000,291688308,556152,9755540,51,3650365,MODELED
ARI,2026,302000000,290269678,675109,11055213,51,10091361,MODELED
LAR,2026,302000000,271963345,373159,29663496,51,11090963,MODELED
SF,2026,302000000,260030953,307761,41661286,51,12056161,MODELED
SEA,2026,302000000,280571043,535866,20893091,51,2828002,MODELED
