game_id,season,week,game_date,kickoff_local,home_team_id,away_team_id,venue,venue_city,roof,surface,divisional_game,conference_game,primetime,status,home_score,away_score,data_class
G2026W01001,2026,1,2026-09-13,16:05,DEN,KC,Mile High Park,Denver,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W01002,2026,1,2026-09-13,16:05,WAS,DAL,Potomac Yard,Landover,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W01003,2026,1,2026-09-13,16:05,CAR,NO,Piedmont Field,Charlotte,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W01004,2026,1,2026-09-13,16:05,SF,SEA,Bayview Park,Santa Clara,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W01005,2026,1,2026-09-13,16:05,PIT,BUF,Three Rivers Yard,Pittsburgh,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W01006,2026,1,2026-09-13,16:05,CLE,MIA,Lakefront Stadium,Cleveland,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W01007,2026,1,2026-09-10,20:15,IND,LAC,Circle City Dome,Indianapolis,retractable,artificial,0,1,1,SCHEDULED,,,GENERATED
G2026W01008,2026,1,2026-09-10,20:15,PHI,DET,Independence Field,Philadelphia,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W01009,2026,1,2026-09-13,13:00,NYG,MIN,Meadowlark Stadium,East Rutherford,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W01010,2026,1,2026-09-13,16:05,HOU,ATL,Gulf Coast Dome,Houston,retractable,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W01011,2026,1,2026-09-10,20:15,TEN,NYJ,Cumberland Yard,Nashville,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W01012,2026,1,2026-09-13,13:00,CIN,LV,Queen City Field,Cincinnati,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W01013,2026,1,2026-09-13,20:20,CHI,ARI,Lakeside Grounds,Chicago,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W01014,2026,1,2026-09-13,13:00,GB,NE,Northwoods Field,Green Bay,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W01015,2026,1,2026-09-13,13:00,TB,BAL,Bayshore Stadium,Tampa,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W01016,2026,1,2026-09-13,16:05,LAR,JAX,Pacific Crossing,Inglewood,retractable,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W02017,2026,2,2026-09-20,16:05,BUF,NE,Lakeshore Field,Orchard Park,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W02018,2026,2,2026-09-20,16:05,NYJ,MIA,Meadowlark Stadium,East Rutherford,open,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W02019,2026,2,2026-09-17,20:15,CLE,CIN,Lakefront Stadium,Cleveland,open,grass,1,1,1,SCHEDULED,,,GENERATED
G2026W02020,2026,2,2026-09-20,16:05,HOU,JAX,Gulf Coast Dome,Houston,retractable,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W02021,2026,2,2026-09-20,13:00,LAC,DEN,Pacific Crossing,Inglewood,retractable,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W02022,2026,2,2026-09-20,16:05,WAS,PHI,Potomac Yard,Landover,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W02023,2026,2,2026-09-20,16:05,ATL,CAR,Peachtree Dome,Atlanta,retractable,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W02024,2026,2,2026-09-20,13:00,SEA,SF,Puget Sound Field,Seattle,open,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W02025,2026,2,2026-09-20,16:05,LV,TEN,Silver Vault,Paradise,dome,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W02026,2026,2,2026-09-20,16:05,DET,DAL,Assembly Dome,Detroit,dome,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W02027,2026,2,2026-09-20,20:20,CHI,NYG,Lakeside Grounds,Chicago,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W02028,2026,2,2026-09-21,20:20,TB,LAR,Bayshore Stadium,Tampa,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W02029,2026,2,2026-09-20,16:05,MIN,BAL,Aurora Bank Dome,Minneapolis,dome,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W02030,2026,2,2026-09-17,20:15,GB,PIT,Northwoods Field,Green Bay,open,grass,0,0,1,SCHEDULED,,,GENERATED
G2026W02031,2026,2,2026-09-20,13:00,NO,IND,Crescent Dome,New Orleans,dome,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W02032,2026,2,2026-09-20,13:00,ARI,KC,Desert Vista Stadium,Glendale,retractable,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W03033,2026,3,2026-09-27,20:20,NYJ,NE,Meadowlark Stadium,East Rutherford,open,artificial,1,1,1,SCHEDULED,,,GENERATED
G2026W03034,2026,3,2026-09-27,13:00,PIT,CIN,Three Rivers Yard,Pittsburgh,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W03035,2026,3,2026-09-27,16:05,JAX,TEN,Atlantic Bank Field,Jacksonville,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W03036,2026,3,2026-09-27,16:05,CHI,GB,Lakeside Grounds,Chicago,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W03037,2026,3,2026-09-27,20:20,CAR,TB,Piedmont Field,Charlotte,open,grass,1,1,1,SCHEDULED,,,GENERATED
G2026W03038,2026,3,2026-09-27,13:00,BAL,MIA,Harborworks Field,Baltimore,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W03039,2026,3,2026-09-27,20:20,KC,HOU,Stockyards Stadium,Kansas City,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W03040,2026,3,2026-09-27,13:00,DET,WAS,Assembly Dome,Detroit,dome,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W03041,2026,3,2026-09-27,13:00,LAR,NO,Pacific Crossing,Inglewood,retractable,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W03042,2026,3,2026-09-27,16:05,DEN,ARI,Mile High Park,Denver,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W03043,2026,3,2026-09-28,20:20,IND,BUF,Circle City Dome,Indianapolis,retractable,artificial,0,1,1,SCHEDULED,,,GENERATED
G2026W03044,2026,3,2026-09-27,16:05,SF,PHI,Bayview Park,Santa Clara,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W03045,2026,3,2026-09-27,13:00,SEA,MIN,Puget Sound Field,Seattle,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W03046,2026,3,2026-09-27,13:00,CLE,ATL,Lakefront Stadium,Cleveland,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W03047,2026,3,2026-09-24,20:15,DAL,LV,Lone Star Palace,Arlington,retractable,artificial,0,0,1,SCHEDULED,,,GENERATED
G2026W03048,2026,3,2026-09-27,13:00,NYG,LAC,Meadowlark Stadium,East Rutherford,open,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W04049,2026,4,2026-10-04,16:05,MIA,NYJ,Palmetto Bay Stadium,Miami Gardens,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W04050,2026,4,2026-10-04,16:05,BAL,CLE,Harborworks Field,Baltimore,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W04051,2026,4,2026-10-05,20:20,IND,JAX,Circle City Dome,Indianapolis,retractable,artificial,1,1,1,SCHEDULED,,,GENERATED
G2026W04052,2026,4,2026-10-04,16:05,NYG,DAL,Meadowlark Stadium,East Rutherford,open,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W04053,2026,4,2026-10-04,16:05,MIN,GB,Aurora Bank Dome,Minneapolis,dome,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W04054,2026,4,2026-10-04,13:00,NO,ATL,Crescent Dome,New Orleans,dome,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W04055,2026,4,2026-10-01,20:15,TB,CAR,Bayshore Stadium,Tampa,open,grass,1,1,1,SCHEDULED,,,GENERATED
G2026W04056,2026,4,2026-10-04,16:05,SF,ARI,Bayview Park,Santa Clara,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W04057,2026,4,2026-10-04,16:05,PIT,NE,Three Rivers Yard,Pittsburgh,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W04058,2026,4,2026-10-04,13:00,HOU,LV,Gulf Coast Dome,Houston,retractable,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W04059,2026,4,2026-10-01,20:15,TEN,LAC,Cumberland Yard,Nashville,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W04060,2026,4,2026-10-04,16:05,WAS,CHI,Potomac Yard,Landover,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W04061,2026,4,2026-10-04,16:05,PHI,BUF,Independence Field,Philadelphia,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W04062,2026,4,2026-10-04,20:20,CIN,DET,Queen City Field,Cincinnati,open,artificial,0,0,1,SCHEDULED,,,GENERATED
G2026W04063,2026,4,2026-10-04,13:00,LAR,DEN,Pacific Crossing,Inglewood,retractable,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W04064,2026,4,2026-10-04,13:00,KC,SEA,Stockyards Stadium,Kansas City,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W05065,2026,5,2026-10-11,16:05,LV,LAC,Silver Vault,Paradise,dome,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W05066,2026,5,2026-10-11,13:00,WAS,NYG,Potomac Yard,Landover,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W05067,2026,5,2026-10-11,16:05,CHI,MIN,Lakeside Grounds,Chicago,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W05068,2026,5,2026-10-11,13:00,SEA,ARI,Puget Sound Field,Seattle,open,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W05069,2026,5,2026-10-08,20:15,BUF,CLE,Lakeshore Field,Orchard Park,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W05070,2026,5,2026-10-11,16:05,NYJ,CIN,Meadowlark Stadium,East Rutherford,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W05071,2026,5,2026-10-11,16:05,IND,KC,Circle City Dome,Indianapolis,retractable,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W05072,2026,5,2026-10-11,13:00,MIA,PHI,Palmetto Bay Stadium,Miami Gardens,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W05073,2026,5,2026-10-08,20:15,CAR,JAX,Piedmont Field,Charlotte,open,grass,0,0,1,SCHEDULED,,,GENERATED
G2026W05074,2026,5,2026-10-11,13:00,DEN,SF,Mile High Park,Denver,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W05075,2026,5,2026-10-11,16:05,BAL,HOU,Harborworks Field,Baltimore,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W05076,2026,5,2026-10-11,16:05,TEN,PIT,Cumberland Yard,Nashville,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W05077,2026,5,2026-10-11,16:05,DAL,LAR,Lone Star Palace,Arlington,retractable,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W05078,2026,5,2026-10-12,20:20,GB,NO,Northwoods Field,Green Bay,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W06079,2026,6,2026-10-18,13:00,BAL,CIN,Harborworks Field,Baltimore,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W06080,2026,6,2026-10-18,16:05,PHI,NYG,Independence Field,Philadelphia,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W06081,2026,6,2026-10-18,13:00,DET,GB,Assembly Dome,Detroit,dome,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W06082,2026,6,2026-10-18,13:00,HOU,DEN,Gulf Coast Dome,Houston,retractable,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W06083,2026,6,2026-10-15,20:15,ARI,CAR,Desert Vista Stadium,Glendale,retractable,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W06084,2026,6,2026-10-18,13:00,DAL,MIA,Lone Star Palace,Arlington,retractable,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W06085,2026,6,2026-10-18,16:05,NE,WAS,Commonwealth Field,Foxborough,open,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W06086,2026,6,2026-10-18,16:05,PIT,MIN,Three Rivers Yard,Pittsburgh,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W06087,2026,6,2026-10-18,16:05,CLE,CHI,Lakefront Stadium,Cleveland,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W06088,2026,6,2026-10-19,20:20,IND,TB,Circle City Dome,Indianapolis,retractable,artificial,0,0,1,SCHEDULED,,,GENERATED
G2026W06089,2026,6,2026-10-18,16:05,JAX,ATL,Atlantic Bank Field,Jacksonville,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W06090,2026,6,2026-10-19,20:20,SEA,LV,Puget Sound Field,Seattle,open,artificial,0,0,1,SCHEDULED,,,GENERATED
G2026W06091,2026,6,2026-10-18,16:05,LAC,LAR,Pacific Crossing,Inglewood,retractable,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W06092,2026,6,2026-10-18,16:05,KC,NYJ,Stockyards Stadium,Kansas City,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W06093,2026,6,2026-10-18,16:05,TEN,SF,Cumberland Yard,Nashville,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W07094,2026,7,2026-10-25,16:05,MIA,BUF,Palmetto Bay Stadium,Miami Gardens,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W07095,2026,7,2026-10-22,20:15,CLE,BAL,Lakefront Stadium,Cleveland,open,grass,1,1,1,SCHEDULED,,,GENERATED
G2026W07096,2026,7,2026-10-25,13:00,CIN,PIT,Queen City Field,Cincinnati,open,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W07097,2026,7,2026-10-25,16:05,TEN,IND,Cumberland Yard,Nashville,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W07098,2026,7,2026-10-26,20:20,NYG,PHI,Meadowlark Stadium,East Rutherford,open,artificial,1,1,1,SCHEDULED,,,GENERATED
G2026W07099,2026,7,2026-10-25,16:05,GB,DET,Northwoods Field,Green Bay,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W07100,2026,7,2026-10-22,20:15,TB,ATL,Bayshore Stadium,Tampa,open,grass,1,1,1,SCHEDULED,,,GENERATED
G2026W07101,2026,7,2026-10-25,13:00,CAR,LAR,Piedmont Field,Charlotte,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W07102,2026,7,2026-10-25,16:05,WAS,NYJ,Potomac Yard,Landover,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W07103,2026,7,2026-10-26,20:20,SF,KC,Bayview Park,Santa Clara,open,grass,0,0,1,SCHEDULED,,,GENERATED
G2026W07104,2026,7,2026-10-25,16:05,LAC,SEA,Pacific Crossing,Inglewood,retractable,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W07105,2026,7,2026-10-25,16:05,NE,JAX,Commonwealth Field,Foxborough,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W07106,2026,7,2026-10-25,13:00,DAL,NO,Lone Star Palace,Arlington,retractable,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W07107,2026,7,2026-10-25,13:00,ARI,HOU,Desert Vista Stadium,Glendale,retractable,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W08108,2026,8,2026-11-01,16:05,BUF,MIA,Lakeshore Field,Orchard Park,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W08109,2026,8,2026-11-01,20:20,BAL,PIT,Harborworks Field,Baltimore,open,grass,1,1,1,SCHEDULED,,,GENERATED
G2026W08110,2026,8,2026-11-01,13:00,TEN,HOU,Cumberland Yard,Nashville,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W08111,2026,8,2026-11-01,13:00,PHI,WAS,Independence Field,Philadelphia,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W08112,2026,8,2026-11-01,16:05,MIN,CHI,Aurora Bank Dome,Minneapolis,dome,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W08113,2026,8,2026-11-01,16:05,SEA,LAR,Puget Sound Field,Seattle,open,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W08114,2026,8,2026-11-01,16:05,NYG,DET,Meadowlark Stadium,East Rutherford,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W08115,2026,8,2026-11-01,20:20,ATL,SF,Peachtree Dome,Atlanta,retractable,artificial,0,1,1,SCHEDULED,,,GENERATED
G2026W08116,2026,8,2026-11-02,20:20,NE,DAL,Commonwealth Field,Foxborough,open,artificial,0,0,1,SCHEDULED,,,GENERATED
G2026W08117,2026,8,2026-11-01,16:05,IND,CAR,Circle City Dome,Indianapolis,retractable,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W08118,2026,8,2026-11-01,16:05,TB,JAX,Bayshore Stadium,Tampa,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W08119,2026,8,2026-10-29,20:15,LV,ARI,Silver Vault,Paradise,dome,grass,0,0,1,SCHEDULED,,,GENERATED
G2026W08120,2026,8,2026-11-01,13:00,DEN,CLE,Mile High Park,Denver,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W08121,2026,8,2026-11-01,16:05,NO,CIN,Crescent Dome,New Orleans,dome,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W09122,2026,9,2026-11-08,16:05,NYJ,BUF,Meadowlark Stadium,East Rutherford,open,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W09123,2026,9,2026-11-08,16:05,PIT,CLE,Three Rivers Yard,Pittsburgh,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W09124,2026,9,2026-11-08,13:00,JAX,TEN,Atlantic Bank Field,Jacksonville,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W09125,2026,9,2026-11-08,16:05,KC,LV,Stockyards Stadium,Kansas City,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W09126,2026,9,2026-11-08,16:05,WAS,NYG,Potomac Yard,Landover,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W09127,2026,9,2026-11-08,16:05,MIN,DET,Aurora Bank Dome,Minneapolis,dome,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W09128,2026,9,2026-11-05,20:15,MIA,CIN,Palmetto Bay Stadium,Miami Gardens,open,grass,0,1,1,SCHEDULED,,,GENERATED
