team_id,coach_id,role,side_of_ball,years_with_team,play_calling_duty,data_class
BUF,CCH0001,Head Coach,Staff,5,0,GENERATED
BUF,CCH0002,Offensive Coordinator,Offense,3,1,GENERATED
BUF,CCH0003,Defensive Coordinator,Defense,5,1,GENERATED
BUF,CCH0004,Special Teams Coordinator,Special Teams,1,0,GENERATED
BUF,CCH0005,Assistant Head Coach,Staff,4,0,GENERATED
BUF,CCH0006,Quarterbacks Coach,Offense,1,0,GENERATED
BUF,CCH0007,Running Backs Coach,Offense,4,0,GENERATED
BUF,CCH0008,Wide Receivers Coach,Offense,7,0,GENERATED
BUF,CCH0009,Tight Ends Coach,Offense,7,0,GENERATED
BUF,CCH0010,Offensive Line Coach,Offense,1,0,GENERATED
BUF,CCH0011,Defensive Line Coach,Defense,4,0,GENERATED
BUF,CCH0012,Outside Linebackers Coach,Defense,8,0,GENERATED
BUF,CCH0013,Linebackers Coach,Defense,8,0,GENERATED
BUF,CCH0014,Defensive Backs Coach,Defense,6,0,GENERATED
BUF,CCH0015,Strength & Conditioning,Staff,8,0,GENERATED
MIA,CCH0016,Head Coach,Staff,3,0,GENERATED
MIA,CCH0017,Offensive Coordinator,Offense,5,1,GENERATED
MIA,CCH0018,Defensive Coordinator,Defense,5,1,GENERATED
MIA,CCH0019,Special Teams Coordinator,Special Teams,4,0,GENERATED
MIA,CCH0020,Assistant Head Coach,Staff,1,0,GENERATED
MIA,CCH0021,Quarterbacks Coach,Offense,6,0,GENERATED
MIA,CCH0022,Running Backs Coach,Offense,6,0,GENERATED
MIA,CCH0023,Wide Receivers Coach,Offense,3,0,GENERATED
MIA,CCH0024,Tight Ends Coach,Offense,3,0,GENERATED
MIA,CCH0025,Offensive Line Coach,Offense,8,0,GENERATED
MIA,CCH0026,Defensive Line Coach,Defense,1,0,GENERATED
MIA,CCH0027,Outside Linebackers Coach,Defense,8,0,GENERATED
MIA,CCH0028,Linebackers Coach,Defense,2,0,GENERATED
MIA,CCH0029,Defensive Backs Coach,Defense,2,0,GENERATED
MIA,CCH0030,Strength & Conditioning,Staff,5,0,GENERATED
NE,CCH0031,Head Coach,Staff,6,0,GENERATED
NE,CCH0032,Offensive Coordinator,Offense,5,1,GENERATED
NE,CCH0033,Defensive Coordinator,Defense,3,1,GENERATED
NE,CCH0034,Special Teams Coordinator,Special Teams,6,0,GENERATED
NE,CCH0035,Assistant Head Coach,Staff,2,0,GENERATED
NE,CCH0036,Quarterbacks Coach,Offense,4,0,GENERATED
NE,CCH0037,Running Backs Coach,Offense,2,0,GENERATED
NE,CCH0038,Wide Receivers Coach,Offense,8,0,GENERATED
NE,CCH0039,Tight Ends Coach,Offense,2,0,GENERATED
NE,CCH0040,Offensive Line Coach,Offense,3,0,GENERATED
NE,CCH0041,Defensive Line Coach,Defense,1,0,GENERATED
NE,CCH0042,Outside Linebackers Coach,Defense,7,0,GENERATED
NE,CCH0043,Linebackers Coach,Defense,5,0,GENERATED
NE,CCH0044,Defensive Backs Coach,Defense,3,0,GENERATED
NE,CCH0045,Strength & Conditioning,Staff,3,0,GENERATED
NYJ,CCH0046,Head Coach,Staff,4,0,GENERATED
NYJ,CCH0047,Offensive Coordinator,Offense,3,1,GENERATED
NYJ,CCH0048,Defensive Coordinator,Defense,2,1,GENERATED
NYJ,CCH0049,Special Teams Coordinator,Special Teams,1,0,GENERATED
NYJ,CCH0050,Assistant Head Coach,Staff,1,0,GENERATED
NYJ,CCH0051,Quarterbacks Coach,Offense,6,0,GENERATED
NYJ,CCH0052,Running Backs Coach,Offense,5,0,GENERATED
NYJ,CCH0053,Wide Receivers Coach,Offense,7,0,GENERATED
NYJ,CCH0054,Tight Ends Coach,Offense,3,0,GENERATED
NYJ,CCH0055,Offensive Line Coach,Offense,1,0,GENERATED
NYJ,CCH0056,Defensive Line Coach,Defense,2,0,GENERATED
NYJ,CCH0057,Outside Linebackers Coach,Defense,4,0,GENERATED
NYJ,CCH0058,Linebackers Coach,Defense,4,0,GENERATED
NYJ,CCH0059,Defensive Backs Coach,Defense,3,0,GENERATED
NYJ,CCH0060,Strength & Conditioning,Staff,8,0,GENERATED
BAL,CCH0061,Head Coach,Staff,6,0,GENERATED
BAL,CCH0062,Offensive Coordinator,Offense,7,1,GENERATED
BAL,CCH0063,Defensive Coordinator,Defense,1,1,GENERATED
BAL,CCH0064,Special Teams Coordinator,Special Teams,2,0,GENERATED
BAL,CCH0065,Assistant Head Coach,Staff,2,0,GENERATED
BAL,CCH0066,Quarterbacks Coach,Offense,8,0,GENERATED
BAL,CCH0067,Running Backs Coach,Offense,1,0,GENERATED
BAL,CCH0068,Wide Receivers Coach,Offense,1,0,GENERATED
BAL,CCH0069,Tight Ends Coach,Offense,1,0,GENERATED
BAL,CCH0070,Offensive Line Coach,Offense,5,0,GENERATED
BAL,CCH0071,Defensive Line Coach,Defense,6,0,GENERATED
BAL,CCH0072,Outside Linebackers Coach,Defense,7,0,GENERATED
BAL,CCH0073,Linebackers Coach,Defense,3,0,GENERATED
BAL,CCH0074,Defensive Backs Coach,Defense,4,0,GENERATED
BAL,CCH0075,Strength & Conditioning,Staff,3,0,GENERATED
PIT,CCH0076,Head Coach,Staff,4,0,GENERATED
PIT,CCH0077,Offensive Coordinator,Offense,8,1,GENERATED
PIT,CCH0078,Defensive Coordinator,Defense,4,1,GENERATED
PIT,CCH0079,Special Teams Coordinator,Special Teams,7,0,GENERATED
PIT,CCH0080,Assistant Head Coach,Staff,6,0,GENERATED
PIT,CCH0081,Quarterbacks Coach,Offense,4,0,GENERATED
PIT,CCH0082,Running Backs Coach,Offense,2,0,GENERATED
PIT,CCH0083,Wide Receivers Coach,Offense,2,0,GENERATED
PIT,CCH0084,Tight Ends Coach,Offense,3,0,GENERATED
PIT,CCH0085,Offensive Line Coach,Offense,5,0,GENERATED
PIT,CCH0086,Defensive Line Coach,Defense,2,0,GENERATED
PIT,CCH0087,Outside Linebackers Coach,Defense,8,0,GENERATED
PIT,CCH0088,Linebackers Coach,Defense,7,0,GENERATED
PIT,CCH0089,Defensive Backs Coach,Defense,6,0,GENERATED
PIT,CCH0090,Strength & Conditioning,Staff,5,0,GENERATED
CLE,CCH0091,Head Coach,Staff,4,0,GENERATED
CLE,CCH0092,Offensive Coordinator,Offense,2,1,GENERATED
CLE,CCH0093,Defensive Coordinator,Defense,7,1,GENERATED
CLE,CCH0094,Special Teams Coordinator,Special Teams,2,0,GENERATED
CLE,CCH0095,Assistant Head Coach,Staff,7,0,GENERATED
CLE,CCH0096,Quarterbacks Coach,Offense,6,0,GENERATED
CLE,CCH0097,Running Backs Coach,Offense,2,0,GENERATED
CLE,CCH0098,Wide Receivers Coach,Offense,4,0,GENERATED
CLE,CCH0099,Tight Ends Coach,Offense,6,0,GENERATED
CLE,CCH0100,Offensive Line Coach,Offense,4,0,GENERATED
CLE,CCH0101,Defensive Line Coach,Defense,1,0,GENERATED
CLE,CCH0102,Outside Linebackers Coach,Defense,6,0,GENERATED
CLE,CCH0103,Linebackers Coach,Defense,1,0,GENERATED
CLE,CCH0104,Defensive Backs Coach,Defense,7,0,GENERATED
CLE,CCH0105,Strength & Conditioning,Staff,5,0,GENERATED
CIN,CCH0106,Head Coach,Staff,1,0,GENERATED
CIN,CCH0107,Offensive Coordinator,Offense,1,1,GENERATED
CIN,CCH0108,Defensive Coordinator,Defense,2,1,GENERATED
CIN,CCH0109,Special Teams Coordinator,Special Teams,4,0,GENERATED
CIN,CCH0110,Assistant Head Coach,Staff,5,0,GENERATED
CIN,CCH0111,Quarterbacks Coach,Offense,3,0,GENERATED
CIN,CCH0112,Running Backs Coach,Offense,1,0,GENERATED
CIN,CCH0113,Wide Receivers Coach,Offense,1,0,GENERATED
CIN,CCH0114,Tight Ends Coach,Offense,2,0,GENERATED
CIN,CCH0115,Offensive Line Coach,Offense,6,0,GENERATED
CIN,CCH0116,Defensive Line Coach,Defense,6,0,GENERATED
CIN,CCH0117,Outside Linebackers Coach,Defense,3,0,GENERATED
CIN,CCH0118,Linebackers Coach,Defense,2,0,GENERATED
CIN,CCH0119,Defensive Backs Coach,Defense,3,0,GENERATED
CIN,CCH0120,Strength & Conditioning,Staff,8,0,GENERATED
HOU,CCH0121,Head Coach,Staff,6,0,GENERATED
HOU,CCH0122,Offensive Coordinator,Offense,6,1,GENERATED
HOU,CCH0123,Defensive Coordinator,Defense,7,1,GENERATED
HOU,CCH0124,Special Teams Coordinator,Special Teams,2,0,GENERATED
HOU,CCH0125,Assistant Head Coach,Staff,7,0,GENERATED
HOU,CCH0126,Quarterbacks Coach,Offense,5,0,GENERATED
HOU,CCH0127,Running Backs Coach,Offense,2,0,GENERATED
HOU,CCH0128,Wide Receivers Coach,Offense,6,0,GENERATED
HOU,CCH0129,Tight Ends Coach,Offense,7,0,GENERATED
HOU,CCH0130,Offensive Line Coach,Offense,2,0,GENERATED
HOU,CCH0131,Defensive Line Coach,Defense,2,0,GENERATED
HOU,CCH0132,Outside Linebackers Coach,Defense,3,0,GENERATED
HOU,CCH0133,Linebackers Coach,Defense,6,0,GENERATED
HOU,CCH0134,Defensive Backs Coach,Defense,8,0,GENERATED
HOU,CCH0135,Strength & Conditioning,Staff,7,0,GENERATED
IND,CCH0136,Head Coach,Staff,7,0,GENERATED
IND,CCH0137,Offensive Coordinator,Offense,4,1,GENERATED
IND,CCH0138,Defensive Coordinator,Defense,2,1,GENERATED
IND,CCH0139,Special Teams Coordinator,Special Teams,4,0,GENERATED
IND,CCH0140,Assistant Head Coach,Staff,1,0,GENERATED
IND,CCH0141,Quarterbacks Coach,Offense,5,0,GENERATED
IND,CCH0142,Running Backs Coach,Offense,3,0,GENERATED
IND,CCH0143,Wide Receivers Coach,Offense,3,0,GENERATED
IND,CCH0144,Tight Ends Coach,Offense,6,0,GENERATED
