team_id,need_rank,position,starter_avg_rating,severity,data_class
BUF,1,RB,65.0,CRITICAL,MODELED
BUF,2,LS,67.0,CRITICAL,MODELED
BUF,3,P,69.0,HIGH,MODELED
BUF,4,OG,70.5,HIGH,MODELED
BUF,5,K,71.0,HIGH,MODELED
MIA,1,RB,63.0,CRITICAL,MODELED
MIA,2,FB,67.0,CRITICAL,MODELED
MIA,3,OG,68.5,HIGH,MODELED
MIA,4,LB,69.0,HIGH,MODELED
MIA,5,C,70.0,HIGH,MODELED
NE,1,P,68.0,HIGH,MODELED
NE,2,QB,70.0,HIGH,MODELED
NE,3,LS,72.0,HIGH,MODELED
NE,4,S,72.3,HIGH,MODELED
NE,5,OG,73.5,HIGH,MODELED
NYJ,1,LS,70.0,HIGH,MODELED
NYJ,2,OG,74.0,MODERATE,MODELED
NYJ,3,LB,76.0,MODERATE,MODELED
NYJ,4,RB,77.0,MODERATE,MODELED
NYJ,5,DT,78.3,MODERATE,MODELED
BAL,1,K,68.0,HIGH,MODELED
BAL,2,S,71.3,HIGH,MODELED
BAL,3,FB,74.0,MODERATE,MODELED
BAL,4,LS,74.0,MODERATE,MODELED
BAL,5,OT,74.5,MODERATE,MODELED
PIT,1,FB,73.0,HIGH,MODELED
PIT,2,K,75.0,MODERATE,MODELED
PIT,3,LS,76.0,MODERATE,MODELED
PIT,4,TE,78.0,MODERATE,MODELED
PIT,5,S,78.0,MODERATE,MODELED
CLE,1,C,69.0,HIGH,MODELED
CLE,2,FB,70.0,HIGH,MODELED
CLE,3,P,71.0,HIGH,MODELED
CLE,4,OG,75.5,MODERATE,MODELED
CLE,5,QB,76.0,MODERATE,MODELED
CIN,1,FB,69.0,HIGH,MODELED
CIN,2,TE,72.5,HIGH,MODELED
CIN,3,EDGE,75.0,MODERATE,MODELED
CIN,4,OG,75.5,MODERATE,MODELED
CIN,5,WR,75.6,MODERATE,MODELED
HOU,1,K,70.0,HIGH,MODELED
HOU,2,OG,70.5,HIGH,MODELED
