team_id,player_id,position,jersey_number,roster_status,designation,depth_rank,acquisition_type,acquisition_year,active_status,data_class
BUF,BUF_QB_01,QB,59,ACTIVE,NONE,1,FREE_AGENCY,2013,1,GENERATED
BUF,BUF_QB_02,QB,93,ACTIVE,NONE,2,WAIVER_CLAIM,2026,1,GENERATED
BUF,BUF_QB_03,QB,99,PRACTICE_SQUAD_CANDIDATE,NONE,3,DRAFT,2024,0,GENERATED
BUF,BUF_QB_04,QB,12,CAMP_BODY,NONE,4,FREE_AGENCY,2022,0,GENERATED
BUF,BUF_RB_01,RB,63,ACTIVE,NONE,1,FREE_AGENCY,2020,1,GENERATED
BUF,BUF_RB_02,RB,85,ACTIVE,NONE,2,FREE_AGENCY,2026,1,GENERATED
BUF,BUF_RB_03,RB,60,ACTIVE,NONE,3,DRAFT,2026,1,GENERATED
BUF,BUF_RB_04,RB,62,PRACTICE_SQUAD_CANDIDATE,NONE,4,DRAFT,2026,0,GENERATED
BUF,BUF_RB_05,RB,10,CAMP_BODY,PUP,5,UDFA_SIGNING,2026,0,GENERATED
BUF,BUF_FB_01,FB,80,ACTIVE,NONE,1,FREE_AGENCY,2024,1,GENERATED
BUF,BUF_WR_01,WR,90,ACTIVE,DAY_TO_DAY,1,WAIVER_CLAIM,2018,1,GENERATED
BUF,BUF_WR_02,WR,77,ACTIVE,NONE,2,DRAFT,2025,1,GENERATED
BUF,BUF_WR_03,WR,6,ACTIVE,NONE,3,DRAFT,2025,1,GENERATED
BUF,BUF_WR_04,WR,19,ACTIVE,DAY_TO_DAY,4,DRAFT,2023,1,GENERATED
BUF,BUF_WR_05,WR,44,ACTIVE,NONE,5,DRAFT,2024,1,GENERATED
BUF,BUF_WR_06,WR,76,ACTIVE,NONE,6,DRAFT,2025,1,GENERATED
BUF,BUF_WR_07,WR,52,PRACTICE_SQUAD_CANDIDATE,NONE,7,DRAFT,2025,0,GENERATED
BUF,BUF_WR_08,WR,96,PRACTICE_SQUAD_CANDIDATE,NONE,8,UDFA_SIGNING,2026,0,GENERATED
BUF,BUF_WR_09,WR,31,CAMP_BODY,NONE,9,DRAFT,2026,0,GENERATED
BUF,BUF_WR_10,WR,26,CAMP_BODY,NONE,10,UDFA_SIGNING,2026,0,GENERATED
BUF,BUF_WR_11,WR,16,CAMP_BODY,NONE,11,UDFA_SIGNING,2025,0,GENERATED
BUF,BUF_TE_01,TE,67,ACTIVE,NONE,1,FREE_AGENCY,2019,1,GENERATED
BUF,BUF_TE_02,TE,98,ACTIVE,NONE,2,DRAFT,2025,1,GENERATED
BUF,BUF_TE_03,TE,56,ACTIVE,NONE,3,WAIVER_CLAIM,2025,1,GENERATED
BUF,BUF_TE_04,TE,79,PRACTICE_SQUAD_CANDIDATE,NONE,4,DRAFT,2024,0,GENERATED
BUF,BUF_TE_05,TE,33,CAMP_BODY,NONE,5,DRAFT,2024,0,GENERATED
BUF,BUF_TE_06,TE,2,CAMP_BODY,NONE,6,UDFA_SIGNING,2026,0,GENERATED
BUF,BUF_OT_01,OT,8,ACTIVE,NONE,1,DRAFT,2026,1,GENERATED
BUF,BUF_OT_02,OT,38,ACTIVE,NONE,2,FREE_AGENCY,2021,1,GENERATED
BUF,BUF_OT_03,OT,36,ACTIVE,NONE,3,DRAFT,2024,1,GENERATED
BUF,BUF_OT_04,OT,3,ACTIVE,DAY_TO_DAY,4,FREE_AGENCY,2024,1,GENERATED
BUF,BUF_OT_05,OT,83,PRACTICE_SQUAD_CANDIDATE,NONE,5,TRADE,2025,0,GENERATED
BUF,BUF_OT_06,OT,46,CAMP_BODY,PUP,6,DRAFT,2025,0,GENERATED
BUF,BUF_OG_01,OG,58,ACTIVE,NONE,1,DRAFT,2025,1,GENERATED
BUF,BUF_OG_02,OG,87,ACTIVE,NONE,2,DRAFT,2026,1,GENERATED
BUF,BUF_OG_03,OG,74,ACTIVE,NONE,3,WAIVER_CLAIM,2025,1,GENERATED
BUF,BUF_OG_04,OG,86,ACTIVE,IR,4,WAIVER_CLAIM,2023,0,GENERATED
BUF,BUF_OG_05,OG,11,PRACTICE_SQUAD_CANDIDATE,NONE,5,UDFA_SIGNING,2025,0,GENERATED
BUF,BUF_OG_06,OG,57,CAMP_BODY,NONE,6,DRAFT,2025,0,GENERATED
BUF,BUF_C_01,C,55,ACTIVE,NONE,1,DRAFT,2025,1,GENERATED
BUF,BUF_C_02,C,88,ACTIVE,NONE,2,UDFA_SIGNING,2026,1,GENERATED
BUF,BUF_C_03,C,21,PRACTICE_SQUAD_CANDIDATE,PUP,3,FREE_AGENCY,2021,0,GENERATED
BUF,BUF_EDGE_01,EDGE,72,ACTIVE,NONE,1,DRAFT,2025,1,GENERATED
BUF,BUF_EDGE_02,EDGE,95,ACTIVE,NONE,2,DRAFT,2026,1,GENERATED
