team_id,metro_area,nickname,division_id,conference_id,primary_color,secondary_color,founded_year,market_size,stadium_id,owner_id,data_class
BUF,Buffalo,Stampede,AC-E,AC,#12376B,#C8102E,1960,4,STD_BUF,OWN01,GENERATED
MIA,Miami,Barracuda,AC-E,AC,#00857D,#F26522,1966,7,STD_MIA,OWN02,GENERATED
NE,New England,Colonials,AC-E,AC,#0B2340,#A6192E,1960,8,STD_NE,OWN03,GENERATED
NYJ,New York,Aviators,AC-E,AC,#0F5132,#FFFFFF,1960,10,STD_NYJ,OWN04,GENERATED
BAL,Baltimore,Blackbirds,AC-N,AC,#2B1B5C,#000000,1996,6,STD_BAL,OWN05,GENERATED
PIT,Pittsburgh,Forge,AC-N,AC,#000000,#FFB612,1933,5,STD_PIT,OWN06,GENERATED
CLE,Cleveland,Ironmen,AC-N,AC,#41230A,#F26A21,1946,5,STD_CLE,OWN07,GENERATED
CIN,Cincinnati,Riverkings,AC-N,AC,#F04B24,#000000,1968,5,STD_CIN,OWN08,GENERATED
HOU,Houston,Wildcatters,AC-S,AC,#0B2340,#B32134,2002,9,STD_HOU,OWN09,GENERATED
IND,Indianapolis,Speed,AC-S,AC,#00327A,#FFFFFF,1953,5,STD_IND,OWN10,GENERATED
JAX,Jacksonville,Reef,AC-S,AC,#0B7A75,#C9A227,1995,4,STD_JAX,OWN11,GENERATED
TEN,Tennessee,Ridgebacks,AC-S,AC,#1B3A6B,#5FA3D9,1960,5,STD_TEN,OWN12,GENERATED
DEN,Denver,Summit,AC-W,AC,#F26522,#0B2340,1960,6,STD_DEN,OWN13,GENERATED
KC,Kansas City,Drovers,AC-W,AC,#C8102E,#F2C100,1960,5,STD_KC,OWN14,GENERATED
LV,Las Vegas,Highrollers,AC-W,AC,#000000,#B0B7BC,1960,5,STD_LV,OWN15,GENERATED
LAC,Los Angeles,Current,AC-W,AC,#0A6DA0,#F2C100,1960,10,STD_LAC,OWN16,GENERATED
DAL,Dallas,Outlaws,NC-E,NC,#0B2340,#8E9BA5,1960,9,STD_DAL,OWN17,GENERATED
PHI,Philadelphia,Liberty,NC-E,NC,#1B4D3E,#B0B7BC,1933,8,STD_PHI,OWN18,GENERATED
WAS,Washington,Federals,NC-E,NC,#5C1F1B,#F2C100,1932,8,STD_WAS,OWN19,GENERATED
NYG,New York,Empire,NC-E,NC,#12376B,#C8102E,1925,10,STD_NYG,OWN20,GENERATED
CHI,Chicago,Windjammers,NC-N,NC,#0B1F33,#D24E01,1920,9,STD_CHI,OWN21,GENERATED
DET,Detroit,Motors,NC-N,NC,#0076B6,#B0B7BC,1930,6,STD_DET,OWN22,GENERATED
GB,Green Bay,Lumberjacks,NC-N,NC,#1B3A26,#F2C100,1919,2,STD_GB,OWN23,GENERATED
MIN,Minnesota,Northmen,NC-N,NC,#4F2683,#F2C100,1961,6,STD_MIN,OWN24,GENERATED
ATL,Atlanta,Phoenix,NC-S,NC,#A6192E,#000000,1966,7,STD_ATL,OWN25,GENERATED
CAR,Carolina,Copperheads,NC-S,NC,#0085CA,#101820,1995,5,STD_CAR,OWN26,GENERATED
NO,New Orleans,Krewe,NC-S,NC,#9F8958,#101820,1967,4,STD_NO,OWN27,GENERATED
TB,Tampa Bay,Tempest,NC-S,NC,#B32134,#3B3B3B,1976,6,STD_TB,OWN28,GENERATED
ARI,Arizona,Scorpions,NC-W,NC,#8C1D40,#FFC627,1988,6,STD_ARI,OWN29,GENERATED
LAR,Los Angeles,Stars,NC-W,NC,#00295B,#C9A227,1946,10,STD_LAR,OWN30,GENERATED
SF,San Francisco,Prospectors,NC-W,NC,#8B1A1A,#C9A227,1946,9,STD_SF,OWN31,GENERATED
SEA,Seattle,Evergreens,NC-W,NC,#0C2340,#5FA83E,1976,7,STD_SEA,OWN32,GENERATED
